Year,NAME,variable,Male,variable2,Female,variable3,Total,BlackGeneral
2018,"Gloucester County, Virginia",C15002B_006,198,C15002B_011,290,C15002B_001,2387,20.444072056975283
2018,"Isle of Wight County, Virginia",C15002B_006,321,C15002B_011,641,C15002B_001,5841,16.469782571477488
2018,"James City County, Virginia",C15002B_006,741,C15002B_011,912,C15002B_001,6484,25.493522516964834
2018,"Mathews County, Virginia",C15002B_006,0,C15002B_011,40,C15002B_001,730,5.47945205479452
2018,"Southampton County, Virginia",C15002B_006,161,C15002B_011,449,C15002B_001,4392,13.88888888888889
2018,"York County, Virginia",C15002B_006,869,C15002B_011,1118,C15002B_001,5994,33.14981648314982
2018,"Chesapeake city, Virginia",C15002B_006,4269,C15002B_011,8107,C15002B_001,46471,26.631662757418606
2018,"Franklin city, Virginia",C15002B_006,202,C15002B_011,328,C15002B_001,3151,16.82005712472231
2018,"Hampton city, Virginia",C15002B_006,4104,C15002B_011,6969,C15002B_001,43603,25.39504162557622
2018,"Newport News city, Virginia",C15002B_006,2737,C15002B_011,5213,C15002B_001,45625,17.424657534246577
2018,"Norfolk city, Virginia",C15002B_006,3868,C15002B_011,5497,C15002B_001,60346,15.518841348225235
2018,"Poquoson city, Virginia",C15002B_006,8,C15002B_011,20,C15002B_001,110,25.454545454545453
2018,"Portsmouth city, Virginia",C15002B_006,1941,C15002B_011,3534,C15002B_001,32096,17.05820039880359
2018,"Suffolk city, Virginia",C15002B_006,1815,C15002B_011,3360,C15002B_001,24013,21.5508266355724
2018,"Virginia Beach city, Virginia",C15002B_006,5522,C15002B_011,8484,C15002B_001,55248,25.351143932812047
2018,"Williamsburg city, Virginia",C15002B_006,154,C15002B_011,90,C15002B_001,1121,21.76628010704728
