NAME,variable,individualEstimates,sectors
"Chesapeake city, Virginia",DP03_0042,24296,"Educational services, and health care and social assistance"
"Chesapeake city, Virginia",DP03_0037,12981,Retail trade
"Franklin city, Virginia",DP03_0042,967,"Educational services, and health care and social assistance"
"Franklin city, Virginia",DP03_0035,494,Manufacturing
"Gloucester County, Virginia",DP03_0042,3297,"Educational services, and health care and social assistance"
"Gloucester County, Virginia",DP03_0037,2706,Retail trade
"Hampton city, Virginia",DP03_0042,13964,"Educational services, and health care and social assistance"
"Hampton city, Virginia",DP03_0035,7347,Manufacturing
"Isle of Wight County, Virginia",DP03_0042,3798,"Educational services, and health care and social assistance"
"Isle of Wight County, Virginia",DP03_0035,3101,Manufacturing
"James City County, Virginia",DP03_0042,7990,"Educational services, and health care and social assistance"
"James City County, Virginia",DP03_0041,4142,"Professional, scientific, and management, and administrative and waste management services"
"Mathews County, Virginia",DP03_0042,1137,"Educational services, and health care and social assistance"
"Mathews County, Virginia",DP03_0037,485,Retail trade
"Newport News city, Virginia",DP03_0042,18651,"Educational services, and health care and social assistance"
"Newport News city, Virginia",DP03_0035,10711,Manufacturing
"Norfolk city, Virginia",DP03_0042,23751,"Educational services, and health care and social assistance"
"Norfolk city, Virginia",DP03_0043,12394,"Arts, entertainment, and recreation, and accommodation and food services"
"Poquoson city, Virginia",DP03_0042,1289,"Educational services, and health care and social assistance"
"Poquoson city, Virginia",DP03_0041,937,"Professional, scientific, and management, and administrative and waste management services"
"Portsmouth city, Virginia",DP03_0042,9812,"Educational services, and health care and social assistance"
"Portsmouth city, Virginia",DP03_0037,4879,Retail trade
"Southampton County, Virginia",DP03_0042,1990,"Educational services, and health care and social assistance"
"Southampton County, Virginia",DP03_0035,921,Manufacturing
"Suffolk city, Virginia",DP03_0042,9766,"Educational services, and health care and social assistance"
"Suffolk city, Virginia",DP03_0035,5176,Manufacturing
"Virginia Beach city, Virginia",DP03_0042,47549,"Educational services, and health care and social assistance"
"Virginia Beach city, Virginia",DP03_0037,26077,Retail trade
"Williamsburg city, Virginia",DP03_0042,2228,"Educational services, and health care and social assistance"
"Williamsburg city, Virginia",DP03_0043,1217,"Arts, entertainment, and recreation, and accommodation and food services"
"York County, Virginia",DP03_0042,7004,"Educational services, and health care and social assistance"
"York County, Virginia",DP03_0045,3922,Public administration
