NAME,variable,individualEstimates,sectors
"Chesapeake city, Virginia",DP03_0042,25399,"Educational services, and health care and social assistance"
"Chesapeake city, Virginia",DP03_0041,13114,"Professional, scientific, and management, and administrative and waste management services"
"Franklin city, Virginia",DP03_0042,985,"Educational services, and health care and social assistance"
"Franklin city, Virginia",DP03_0035,519,Manufacturing
"Gloucester County, Virginia",DP03_0042,3438,"Educational services, and health care and social assistance"
"Gloucester County, Virginia",DP03_0037,2263,Retail trade
"Hampton city, Virginia",DP03_0042,14009,"Educational services, and health care and social assistance"
"Hampton city, Virginia",DP03_0041,7717,"Professional, scientific, and management, and administrative and waste management services"
"Isle of Wight County, Virginia",DP03_0042,3624,"Educational services, and health care and social assistance"
"Isle of Wight County, Virginia",DP03_0035,3126,Manufacturing
"James City County, Virginia",DP03_0042,8778,"Educational services, and health care and social assistance"
"James City County, Virginia",DP03_0043,4657,"Arts, entertainment, and recreation, and accommodation and food services"
"Mathews County, Virginia",DP03_0042,920,"Educational services, and health care and social assistance"
"Mathews County, Virginia",DP03_0034,581,Construction
"Newport News city, Virginia",DP03_0042,18919,"Educational services, and health care and social assistance"
"Newport News city, Virginia",DP03_0035,11542,Manufacturing
"Norfolk city, Virginia",DP03_0042,24391,"Educational services, and health care and social assistance"
"Norfolk city, Virginia",DP03_0043,13355,"Arts, entertainment, and recreation, and accommodation and food services"
"Poquoson city, Virginia",DP03_0042,1187,"Educational services, and health care and social assistance"
"Poquoson city, Virginia",DP03_0041,986,"Professional, scientific, and management, and administrative and waste management services"
"Portsmouth city, Virginia",DP03_0042,9824,"Educational services, and health care and social assistance"
"Portsmouth city, Virginia",DP03_0037,4989,Retail trade
"Southampton County, Virginia",DP03_0042,2034,"Educational services, and health care and social assistance"
"Southampton County, Virginia",DP03_0035,1028,Manufacturing
"Suffolk city, Virginia",DP03_0042,10187,"Educational services, and health care and social assistance"
"Suffolk city, Virginia",DP03_0035,5312,Manufacturing
"Virginia Beach city, Virginia",DP03_0042,48853,"Educational services, and health care and social assistance"
"Virginia Beach city, Virginia",DP03_0041,27055,"Professional, scientific, and management, and administrative and waste management services"
"Williamsburg city, Virginia",DP03_0042,2210,"Educational services, and health care and social assistance"
"Williamsburg city, Virginia",DP03_0043,981,"Arts, entertainment, and recreation, and accommodation and food services"
"York County, Virginia",DP03_0042,6963,"Educational services, and health care and social assistance"
"York County, Virginia",DP03_0041,4434,"Professional, scientific, and management, and administrative and waste management services"
