NAME,variable,individualEstimates
"Gloucester County, Virginia",S1501_C01_015,20
"Isle of Wight County, Virginia",S1501_C01_015,25.2
"James City County, Virginia",S1501_C01_015,45.6
"Mathews County, Virginia",S1501_C01_015,22.7
"Southampton County, Virginia",S1501_C01_015,12.7
"York County, Virginia",S1501_C01_015,41.6
"Chesapeake city, Virginia",S1501_C01_015,28.1
"Franklin city, Virginia",S1501_C01_015,20.1
"Hampton city, Virginia",S1501_C01_015,22.5
"Newport News city, Virginia",S1501_C01_015,23.5
"Norfolk city, Virginia",S1501_C01_015,24.7
"Poquoson city, Virginia",S1501_C01_015,36.7
"Portsmouth city, Virginia",S1501_C01_015,19.1
"Suffolk city, Virginia",S1501_C01_015,25.3
"Virginia Beach city, Virginia",S1501_C01_015,32.3
"Williamsburg city, Virginia",S1501_C01_015,47.3
