NAME,variable,individualEstimates
"Gloucester County, Virginia",S1501_C01_015,21.1
"Isle of Wight County, Virginia",S1501_C01_015,25.8
"James City County, Virginia",S1501_C01_015,45.3
"Mathews County, Virginia",S1501_C01_015,25.8
"Southampton County, Virginia",S1501_C01_015,12.2
"York County, Virginia",S1501_C01_015,41.1
"Chesapeake city, Virginia",S1501_C01_015,28.4
"Franklin city, Virginia",S1501_C01_015,20.8
"Hampton city, Virginia",S1501_C01_015,22.6
"Newport News city, Virginia",S1501_C01_015,23.9
"Norfolk city, Virginia",S1501_C01_015,25.4
"Poquoson city, Virginia",S1501_C01_015,35.1
"Portsmouth city, Virginia",S1501_C01_015,19
"Suffolk city, Virginia",S1501_C01_015,25.7
"Virginia Beach city, Virginia",S1501_C01_015,32.3
"Williamsburg city, Virginia",S1501_C01_015,49.5
