"","GEOID","NAME","variable","estimate","moe"
"1","51550","Chesapeake city, Virginia","B01001_001",219268,NA
"2","51550","Chesapeake city, Virginia","B01001_002",106557,93
"3","51550","Chesapeake city, Virginia","B01001_003",7320,37
"4","51550","Chesapeake city, Virginia","B01001_004",7910,439
"5","51550","Chesapeake city, Virginia","B01001_005",8621,459
"6","51550","Chesapeake city, Virginia","B01001_006",5769,99
"7","51550","Chesapeake city, Virginia","B01001_007",3381,144
"8","51550","Chesapeake city, Virginia","B01001_008",1209,237
"9","51550","Chesapeake city, Virginia","B01001_009",1338,271
"10","51550","Chesapeake city, Virginia","B01001_010",4495,315
"11","51550","Chesapeake city, Virginia","B01001_011",6789,20
"12","51550","Chesapeake city, Virginia","B01001_012",6342,30
"13","51550","Chesapeake city, Virginia","B01001_013",7283,416
"14","51550","Chesapeake city, Virginia","B01001_014",8420,424
"15","51550","Chesapeake city, Virginia","B01001_015",9357,76
"16","51550","Chesapeake city, Virginia","B01001_016",8139,90
"17","51550","Chesapeake city, Virginia","B01001_017",6279,300
"18","51550","Chesapeake city, Virginia","B01001_018",2236,241
"19","51550","Chesapeake city, Virginia","B01001_019",2454,228
"20","51550","Chesapeake city, Virginia","B01001_020",1338,236
"21","51550","Chesapeake city, Virginia","B01001_021",1942,203
"22","51550","Chesapeake city, Virginia","B01001_022",2414,226
"23","51550","Chesapeake city, Virginia","B01001_023",1575,192
"24","51550","Chesapeake city, Virginia","B01001_024",1151,160
"25","51550","Chesapeake city, Virginia","B01001_025",795,168
"26","51550","Chesapeake city, Virginia","B01001_026",112711,93
"27","51550","Chesapeake city, Virginia","B01001_027",6997,4
"28","51550","Chesapeake city, Virginia","B01001_028",7472,407
"29","51550","Chesapeake city, Virginia","B01001_029",8562,412
"30","51550","Chesapeake city, Virginia","B01001_030",5411,4
"31","51550","Chesapeake city, Virginia","B01001_031",2771,105
"32","51550","Chesapeake city, Virginia","B01001_032",1491,208
"33","51550","Chesapeake city, Virginia","B01001_033",1241,262
"34","51550","Chesapeake city, Virginia","B01001_034",3933,318
"35","51550","Chesapeake city, Virginia","B01001_035",6956,73
"36","51550","Chesapeake city, Virginia","B01001_036",6880,21
"37","51550","Chesapeake city, Virginia","B01001_037",7645,496
"38","51550","Chesapeake city, Virginia","B01001_038",9527,501
"39","51550","Chesapeake city, Virginia","B01001_039",10078,66
"40","51550","Chesapeake city, Virginia","B01001_040",8614,66
"41","51550","Chesapeake city, Virginia","B01001_041",6797,346
"42","51550","Chesapeake city, Virginia","B01001_042",2315,277
"43","51550","Chesapeake city, Virginia","B01001_043",3236,291
"44","51550","Chesapeake city, Virginia","B01001_044",1783,222
"45","51550","Chesapeake city, Virginia","B01001_045",2040,212
"46","51550","Chesapeake city, Virginia","B01001_046",3006,248
"47","51550","Chesapeake city, Virginia","B01001_047",2509,236
"48","51550","Chesapeake city, Virginia","B01001_048",2024,223
"49","51550","Chesapeake city, Virginia","B01001_049",1423,204
"50","51620","Franklin city, Virginia","B01001_001",8549,NA
"51","51620","Franklin city, Virginia","B01001_002",3880,35
"52","51620","Franklin city, Virginia","B01001_003",365,31
"53","51620","Franklin city, Virginia","B01001_004",284,84
"54","51620","Franklin city, Virginia","B01001_005",247,85
"55","51620","Franklin city, Virginia","B01001_006",174,25
"56","51620","Franklin city, Virginia","B01001_007",216,77
"57","51620","Franklin city, Virginia","B01001_008",64,41
"58","51620","Franklin city, Virginia","B01001_009",84,72
"59","51620","Franklin city, Virginia","B01001_010",110,58
"60","51620","Franklin city, Virginia","B01001_011",126,65
"61","51620","Franklin city, Virginia","B01001_012",176,88
"62","51620","Franklin city, Virginia","B01001_013",332,136
"63","51620","Franklin city, Virginia","B01001_014",156,89
"64","51620","Franklin city, Virginia","B01001_015",248,77
"65","51620","Franklin city, Virginia","B01001_016",269,NA
"66","51620","Franklin city, Virginia","B01001_017",230,61
"67","51620","Franklin city, Virginia","B01001_018",121,48
"68","51620","Franklin city, Virginia","B01001_019",135,55
"69","51620","Franklin city, Virginia","B01001_020",73,49
"70","51620","Franklin city, Virginia","B01001_021",75,52
"71","51620","Franklin city, Virginia","B01001_022",153,69
"72","51620","Franklin city, Virginia","B01001_023",92,45
"73","51620","Franklin city, Virginia","B01001_024",38,24
"74","51620","Franklin city, Virginia","B01001_025",112,41
"75","51620","Franklin city, Virginia","B01001_026",4669,35
"76","51620","Franklin city, Virginia","B01001_027",265,31
"77","51620","Franklin city, Virginia","B01001_028",230,55
"78","51620","Franklin city, Virginia","B01001_029",305,56
"79","51620","Franklin city, Virginia","B01001_030",151,20
"80","51620","Franklin city, Virginia","B01001_031",183,76
"81","51620","Franklin city, Virginia","B01001_032",106,66
"82","51620","Franklin city, Virginia","B01001_033",30,43
"83","51620","Franklin city, Virginia","B01001_034",61,52
"84","51620","Franklin city, Virginia","B01001_035",300,41
"85","51620","Franklin city, Virginia","B01001_036",271,96
"86","51620","Franklin city, Virginia","B01001_037",238,86
"87","51620","Franklin city, Virginia","B01001_038",287,97
"88","51620","Franklin city, Virginia","B01001_039",410,87
"89","51620","Franklin city, Virginia","B01001_040",331,87
"90","51620","Franklin city, Virginia","B01001_041",363,67
"91","51620","Franklin city, Virginia","B01001_042",108,43
"92","51620","Franklin city, Virginia","B01001_043",111,55
"93","51620","Franklin city, Virginia","B01001_044",86,61
"94","51620","Franklin city, Virginia","B01001_045",122,61
"95","51620","Franklin city, Virginia","B01001_046",204,70
"96","51620","Franklin city, Virginia","B01001_047",154,59
"97","51620","Franklin city, Virginia","B01001_048",171,55
"98","51620","Franklin city, Virginia","B01001_049",182,54
"99","51650","Hampton city, Virginia","B01001_001",139046,NA
"100","51650","Hampton city, Virginia","B01001_002",66884,119
"101","51650","Hampton city, Virginia","B01001_003",4629,50
"102","51650","Hampton city, Virginia","B01001_004",4627,356
"103","51650","Hampton city, Virginia","B01001_005",4275,365
"104","51650","Hampton city, Virginia","B01001_006",3086,51
"105","51650","Hampton city, Virginia","B01001_007",2295,118
"106","51650","Hampton city, Virginia","B01001_008",1127,295
"107","51650","Hampton city, Virginia","B01001_009",1290,283
"108","51650","Hampton city, Virginia","B01001_010",4172,401
"109","51650","Hampton city, Virginia","B01001_011",5187,138
"110","51650","Hampton city, Virginia","B01001_012",3916,43
"111","51650","Hampton city, Virginia","B01001_013",4194,351
"112","51650","Hampton city, Virginia","B01001_014",4535,380
"113","51650","Hampton city, Virginia","B01001_015",5162,102
"114","51650","Hampton city, Virginia","B01001_016",4680,64
"115","51650","Hampton city, Virginia","B01001_017",4110,252
"116","51650","Hampton city, Virginia","B01001_018",1358,227
"117","51650","Hampton city, Virginia","B01001_019",1513,202
"118","51650","Hampton city, Virginia","B01001_020",839,170
"119","51650","Hampton city, Virginia","B01001_021",1487,184
"120","51650","Hampton city, Virginia","B01001_022",1762,201
"121","51650","Hampton city, Virginia","B01001_023",1291,145
"122","51650","Hampton city, Virginia","B01001_024",777,129
"123","51650","Hampton city, Virginia","B01001_025",572,115
"124","51650","Hampton city, Virginia","B01001_026",72162,119
"125","51650","Hampton city, Virginia","B01001_027",4476,64
"126","51650","Hampton city, Virginia","B01001_028",3406,316
"127","51650","Hampton city, Virginia","B01001_029",5053,337
"128","51650","Hampton city, Virginia","B01001_030",2795,76
"129","51650","Hampton city, Virginia","B01001_031",2419,68
"130","51650","Hampton city, Virginia","B01001_032",1718,335
"131","51650","Hampton city, Virginia","B01001_033",1148,239
"132","51650","Hampton city, Virginia","B01001_034",3483,406
"133","51650","Hampton city, Virginia","B01001_035",5454,206
"134","51650","Hampton city, Virginia","B01001_036",4349,109
"135","51650","Hampton city, Virginia","B01001_037",4783,381
"136","51650","Hampton city, Virginia","B01001_038",4565,381
"137","51650","Hampton city, Virginia","B01001_039",5713,77
"138","51650","Hampton city, Virginia","B01001_040",5276,82
"139","51650","Hampton city, Virginia","B01001_041",4579,272
"140","51650","Hampton city, Virginia","B01001_042",1611,258
"141","51650","Hampton city, Virginia","B01001_043",1775,227
"142","51650","Hampton city, Virginia","B01001_044",1070,210
"143","51650","Hampton city, Virginia","B01001_045",1755,220
"144","51650","Hampton city, Virginia","B01001_046",2317,225
"145","51650","Hampton city, Virginia","B01001_047",1790,208
"146","51650","Hampton city, Virginia","B01001_048",1422,199
"147","51650","Hampton city, Virginia","B01001_049",1205,183
"148","51700","Newport News city, Virginia","B01001_001",181822,NA
"149","51700","Newport News city, Virginia","B01001_002",87782,198
"150","51700","Newport News city, Virginia","B01001_003",7073,122
"151","51700","Newport News city, Virginia","B01001_004",6143,419
"152","51700","Newport News city, Virginia","B01001_005",6030,420
"153","51700","Newport News city, Virginia","B01001_006",4012,106
"154","51700","Newport News city, Virginia","B01001_007",4531,579
"155","51700","Newport News city, Virginia","B01001_008",1380,323
"156","51700","Newport News city, Virginia","B01001_009",1670,308
"157","51700","Newport News city, Virginia","B01001_010",4790,467
"158","51700","Newport News city, Virginia","B01001_011",7611,46
"159","51700","Newport News city, Virginia","B01001_012",5865,13
"160","51700","Newport News city, Virginia","B01001_013",5563,411
"161","51700","Newport News city, Virginia","B01001_014",5692,415
"162","51700","Newport News city, Virginia","B01001_015",6304,92
"163","51700","Newport News city, Virginia","B01001_016",5656,96
"164","51700","Newport News city, Virginia","B01001_017",4820,284
"165","51700","Newport News city, Virginia","B01001_018",1372,243
"166","51700","Newport News city, Virginia","B01001_019",1845,239
"167","51700","Newport News city, Virginia","B01001_020",1204,191
"168","51700","Newport News city, Virginia","B01001_021",1326,208
"169","51700","Newport News city, Virginia","B01001_022",1799,189
"170","51700","Newport News city, Virginia","B01001_023",1458,165
"171","51700","Newport News city, Virginia","B01001_024",980,172
"172","51700","Newport News city, Virginia","B01001_025",658,146
"173","51700","Newport News city, Virginia","B01001_026",94040,198
"174","51700","Newport News city, Virginia","B01001_027",6532,72
"175","51700","Newport News city, Virginia","B01001_028",5883,427
"176","51700","Newport News city, Virginia","B01001_029",5945,411
"177","51700","Newport News city, Virginia","B01001_030",3666,100
"178","51700","Newport News city, Virginia","B01001_031",3276,202
"179","51700","Newport News city, Virginia","B01001_032",2049,419
"180","51700","Newport News city, Virginia","B01001_033",1624,341
"181","51700","Newport News city, Virginia","B01001_034",5175,419
"182","51700","Newport News city, Virginia","B01001_035",7769,5
"183","51700","Newport News city, Virginia","B01001_036",6046,53
"184","51700","Newport News city, Virginia","B01001_037",6313,430
"185","51700","Newport News city, Virginia","B01001_038",6010,430
"186","51700","Newport News city, Virginia","B01001_039",6943,103
"187","51700","Newport News city, Virginia","B01001_040",6155,100
"188","51700","Newport News city, Virginia","B01001_041",5103,325
"189","51700","Newport News city, Virginia","B01001_042",2149,294
"190","51700","Newport News city, Virginia","B01001_043",2150,256
"191","51700","Newport News city, Virginia","B01001_044",1545,213
"192","51700","Newport News city, Virginia","B01001_045",1468,225
"193","51700","Newport News city, Virginia","B01001_046",2539,221
"194","51700","Newport News city, Virginia","B01001_047",2383,224
"195","51700","Newport News city, Virginia","B01001_048",1761,188
