"","GEOID","NAME","variable","estimate","moe"
"1","51","Virginia","B01001_001",8365952,NA
"2","51","Virginia","B01001_002",4113988,1401
"3","51","Virginia","B01001_003",261109,859
"4","51","Virginia","B01001_004",264154,2423
"5","51","Virginia","B01001_005",266803,2467
"6","51","Virginia","B01001_006",160528,742
"7","51","Virginia","B01001_007",118575,1133
"8","51","Virginia","B01001_008",61596,1626
"9","51","Virginia","B01001_009",62308,1711
"10","51","Virginia","B01001_010",179611,2344
"11","51","Virginia","B01001_011",296279,1096
"12","51","Virginia","B01001_012",290263,1073
"13","51","Virginia","B01001_013",274171,3177
"14","51","Virginia","B01001_014",270914,2861
"15","51","Virginia","B01001_015",280342,896
"16","51","Virginia","B01001_016",293576,829
"17","51","Virginia","B01001_017",273081,1980
"18","51","Virginia","B01001_018",101044,1987
"19","51","Virginia","B01001_019",135842,1932
"20","51","Virginia","B01001_020",85691,1301
"21","51","Virginia","B01001_021",108616,1814
"22","51","Virginia","B01001_022",135346,1951
"23","51","Virginia","B01001_023",88991,1276
"24","51","Virginia","B01001_024",57912,1216
"25","51","Virginia","B01001_025",47236,1253
"26","51","Virginia","B01001_026",4251964,1401
"27","51","Virginia","B01001_027",248813,781
"28","51","Virginia","B01001_028",257994,3008
"29","51","Virginia","B01001_029",252751,2782
"30","51","Virginia","B01001_030",154122,666
"31","51","Virginia","B01001_031",114459,1329
"32","51","Virginia","B01001_032",57980,1727
"33","51","Virginia","B01001_033",57686,1722
"34","51","Virginia","B01001_034",166698,2357
"35","51","Virginia","B01001_035",289149,820
"36","51","Virginia","B01001_036",287093,758
"37","51","Virginia","B01001_037",275375,2625
"38","51","Virginia","B01001_038",276303,2516
"39","51","Virginia","B01001_039",289738,829
"40","51","Virginia","B01001_040",307817,642
"41","51","Virginia","B01001_041",291287,2551
"42","51","Virginia","B01001_042",110479,1642
"43","51","Virginia","B01001_043",150145,2174
"44","51","Virginia","B01001_044",94020,1477
"45","51","Virginia","B01001_045",124398,2019
"46","51","Virginia","B01001_046",158411,2161
"47","51","Virginia","B01001_047",111774,1645
"48","51","Virginia","B01001_048",81994,1537
"49","51","Virginia","B01001_049",93478,1430
