"","GEOID","NAME","variable","estimate","moe"
"1","51550","Chesapeake city, Virginia","S1903_C01_001",79380,614
"2","51550","Chesapeake city, Virginia","S1903_C01_002",65.1,0.6
"3","51550","Chesapeake city, Virginia","S1903_C01_003",29.6,0.5
"4","51550","Chesapeake city, Virginia","S1903_C01_004",0.5,0.1
"5","51550","Chesapeake city, Virginia","S1903_C01_005",2.3,0.2
"6","51550","Chesapeake city, Virginia","S1903_C01_006",0,0.1
"7","51550","Chesapeake city, Virginia","S1903_C01_007",1,0.2
"8","51550","Chesapeake city, Virginia","S1903_C01_008",1.6,0.4
"9","51550","Chesapeake city, Virginia","S1903_C01_009",3.4,0.3
"10","51550","Chesapeake city, Virginia","S1903_C01_010",63.1,0.6
"11","51550","Chesapeake city, Virginia","S1903_C01_011",3.2,0.4
"12","51550","Chesapeake city, Virginia","S1903_C01_012",35.4,0.6
"13","51550","Chesapeake city, Virginia","S1903_C01_013",43.1,0.6
"14","51550","Chesapeake city, Virginia","S1903_C01_014",18.2,0.4
"15","51550","Chesapeake city, Virginia","S1903_C01_015",59688,869
"16","51550","Chesapeake city, Virginia","S1903_C01_016",46.6,1.1
"17","51550","Chesapeake city, Virginia","S1903_C01_017",53.4,1.1
"18","51550","Chesapeake city, Virginia","S1903_C01_018",74.7,1.2
"19","51550","Chesapeake city, Virginia","S1903_C01_019",19.3,1
"20","51550","Chesapeake city, Virginia","S1903_C01_020",6,0.7
"21","51550","Chesapeake city, Virginia","S1903_C01_021",19692,847
"22","51550","Chesapeake city, Virginia","S1903_C01_022",55.9,2.4
"23","51550","Chesapeake city, Virginia","S1903_C01_023",50.4,2.3
"24","51550","Chesapeake city, Virginia","S1903_C01_024",5.4,1.1
"25","51550","Chesapeake city, Virginia","S1903_C01_025",44.1,2.4
"26","51550","Chesapeake city, Virginia","S1903_C01_026",33.6,2.1
"27","51550","Chesapeake city, Virginia","S1903_C01_027",10.5,1.9
"28","51550","Chesapeake city, Virginia","S1903_C01_028",27.9,NA
"29","51550","Chesapeake city, Virginia","S1903_C01_029",27.1,NA
"30","51550","Chesapeake city, Virginia","S1903_C01_030",28.2,NA
"31","51550","Chesapeake city, Virginia","S1903_C02_001",70244,1613
"32","51550","Chesapeake city, Virginia","S1903_C02_002",77618,1763
"33","51550","Chesapeake city, Virginia","S1903_C02_003",53646,1958
"34","51550","Chesapeake city, Virginia","S1903_C02_004",61719,44741
"35","51550","Chesapeake city, Virginia","S1903_C02_005",87861,8431
"36","51550","Chesapeake city, Virginia","S1903_C02_006",77083,19029
"37","51550","Chesapeake city, Virginia","S1903_C02_007",70512,4330
"38","51550","Chesapeake city, Virginia","S1903_C02_008",74958,8465
