"","GEOID","NAME","variable","estimate","moe"
"1","51","Virginia","S1903_C01_001",3041710,9225
"2","51","Virginia","S1903_C01_002",73.2,0.1
"3","51","Virginia","S1903_C01_003",18.6,0.1
"4","51","Virginia","S1903_C01_004",0.3,0.1
"5","51","Virginia","S1903_C01_005",4.7,0.1
"6","51","Virginia","S1903_C01_006",0.1,0.1
"7","51","Virginia","S1903_C01_007",1.5,0.1
"8","51","Virginia","S1903_C01_008",1.8,0.1
"9","51","Virginia","S1903_C01_009",5.7,0.1
"10","51","Virginia","S1903_C01_010",69.4,0.1
"11","51","Virginia","S1903_C01_011",3.8,0.1
"12","51","Virginia","S1903_C01_012",34.5,0.1
"13","51","Virginia","S1903_C01_013",40.2,0.1
"14","51","Virginia","S1903_C01_014",21.5,0.1
"15","51","Virginia","S1903_C01_015",2047106,8624
"16","51","Virginia","S1903_C01_016",44,0.2
"17","51","Virginia","S1903_C01_017",56,0.2
"18","51","Virginia","S1903_C01_018",75.3,0.2
"19","51","Virginia","S1903_C01_019",18.4,0.2
"20","51","Virginia","S1903_C01_020",6.3,0.1
"21","51","Virginia","S1903_C01_021",994604,5459
"22","51","Virginia","S1903_C01_022",54.7,0.3
"23","51","Virginia","S1903_C01_023",46.2,0.3
"24","51","Virginia","S1903_C01_024",8.5,0.2
"25","51","Virginia","S1903_C01_025",45.3,0.3
"26","51","Virginia","S1903_C01_026",34.9,0.3
"27","51","Virginia","S1903_C01_027",10.4,0.2
"28","51","Virginia","S1903_C01_028",27.7,NA
"29","51","Virginia","S1903_C01_029",27.9,NA
"30","51","Virginia","S1903_C01_030",25.8,NA
"31","51","Virginia","S1903_C02_001",64792,274
"32","51","Virginia","S1903_C02_002",69851,366
"33","51","Virginia","S1903_C02_003",44288,463
"34","51","Virginia","S1903_C02_004",54801,4412
"35","51","Virginia","S1903_C02_005",94223,1645
"36","51","Virginia","S1903_C02_006",95446,26366
"37","51","Virginia","S1903_C02_007",54333,2088
"38","51","Virginia","S1903_C02_008",65164,2383
"39","51","Virginia","S1903_C02_009",60459,901
"40","51","Virginia","S1903_C02_010",70309,322
"41","51","Virginia","S1903_C02_011",30558,813
"42","51","Virginia","S1903_C02_012",70181,512
"43","51","Virginia","S1903_C02_013",78740,460
"44","51","Virginia","S1903_C02_014",44048,347
"45","51","Virginia","S1903_C02_015",77939,405
"46","51","Virginia","S1903_C02_016",76610,664
"47","51","Virginia","S1903_C02_017",78854,434
"48","51","Virginia","S1903_C02_018",93019,417
"49","51","Virginia","S1903_C02_019",36908,528
"50","51","Virginia","S1903_C02_020",51568,959
"51","51","Virginia","S1903_C02_021",39930,313
"52","51","Virginia","S1903_C02_022",34433,432
"53","51","Virginia","S1903_C02_023",30912,359
"54","51","Virginia","S1903_C02_024",63764,1606
"55","51","Virginia","S1903_C02_025",46794,463
"56","51","Virginia","S1903_C02_026",41597,405
"57","51","Virginia","S1903_C02_027",70425,1719
"58","51","Virginia","S1903_C02_028",NA,NA
"59","51","Virginia","S1903_C02_029",NA,NA
"60","51","Virginia","S1903_C02_030",NA,NA
