"","GEOID","NAME","variable","estimate","moe"
"1","51550","Chesapeake city, Virginia","S1701_C01_001",217332,964
"2","51550","Chesapeake city, Virginia","S1701_C01_002",56237,377
"3","51550","Chesapeake city, Virginia","S1701_C01_003",55913,422
"4","51550","Chesapeake city, Virginia","S1701_C01_004",138036,820
"5","51550","Chesapeake city, Virginia","S1701_C01_005",23059,174
"6","51550","Chesapeake city, Virginia","S1701_C01_006",103919,914
"7","51550","Chesapeake city, Virginia","S1701_C01_007",113413,270
"8","51550","Chesapeake city, Virginia","S1701_C01_008",211776,1211
"9","51550","Chesapeake city, Virginia","S1701_C01_009",137084,865
"10","51550","Chesapeake city, Virginia","S1701_C01_010",63825,775
"11","51550","Chesapeake city, Virginia","S1701_C01_011",851,224
"12","51550","Chesapeake city, Virginia","S1701_C01_012",6912,318
"13","51550","Chesapeake city, Virginia","S1701_C01_013",133,100
"14","51550","Chesapeake city, Virginia","S1701_C01_014",2971,768
"15","51550","Chesapeake city, Virginia","S1701_C01_015",5556,767
"16","51550","Chesapeake city, Virginia","S1701_C01_016",9539,92
"17","51550","Chesapeake city, Virginia","S1701_C01_017",131837,601
"18","51550","Chesapeake city, Virginia","S1701_C01_018",141677,733
"19","51550","Chesapeake city, Virginia","S1701_C01_019",14035,774
"20","51550","Chesapeake city, Virginia","S1701_C01_020",36326,1448
"21","51550","Chesapeake city, Virginia","S1701_C01_021",50211,1256
"22","51550","Chesapeake city, Virginia","S1701_C01_022",41105,1421
"23","51550","Chesapeake city, Virginia","S1701_C01_023",114137,1361
"24","51550","Chesapeake city, Virginia","S1701_C01_024",106570,1497
"25","51550","Chesapeake city, Virginia","S1701_C01_025",53076,1089
"26","51550","Chesapeake city, Virginia","S1701_C01_026",53494,948
"27","51550","Chesapeake city, Virginia","S1701_C01_027",7567,618
"28","51550","Chesapeake city, Virginia","S1701_C01_028",3844,427
"29","51550","Chesapeake city, Virginia","S1701_C01_029",3723,430
"30","51550","Chesapeake city, Virginia","S1701_C01_030",168159,892
"31","51550","Chesapeake city, Virginia","S1701_C01_031",83730,1309
"32","51550","Chesapeake city, Virginia","S1701_C01_032",37521,1256
"33","51550","Chesapeake city, Virginia","S1701_C01_033",46908,1122
"34","51550","Chesapeake city, Virginia","S1701_C01_034",8211,1184
"35","51550","Chesapeake city, Virginia","S1701_C01_035",24471,1725
"36","51550","Chesapeake city, Virginia","S1701_C01_036",30429,1875
"37","51550","Chesapeake city, Virginia","S1701_C01_037",41072,2082
"38","51550","Chesapeake city, Virginia","S1701_C01_038",44667,2039
