"","GEOID","NAME","variable","estimate","moe"
"1","51","Virginia","S1701_C01_001",7854136,1538
"2","51","Virginia","S1701_C01_002",1829571,1602
"3","51","Virginia","S1701_C01_003",1822915,1820
"4","51","Virginia","S1701_C01_004",5027888,1155
"5","51","Virginia","S1701_C01_005",996677,916
"6","51","Virginia","S1701_C01_006",3821772,1998
"7","51","Virginia","S1701_C01_007",4032364,2165
"8","51","Virginia","S1701_C01_008",7622958,5467
"9","51","Virginia","S1701_C01_009",5477811,5715
"10","51","Virginia","S1701_C01_010",1491461,4522
"11","51","Virginia","S1701_C01_011",23536,1704
"12","51","Virginia","S1701_C01_012",449879,2522
"13","51","Virginia","S1701_C01_013",5215,544
"14","51","Virginia","S1701_C01_014",175056,5538
"15","51","Virginia","S1701_C01_015",231178,5551
"16","51","Virginia","S1701_C01_016",641992,1102
"17","51","Virginia","S1701_C01_017",5073482,2597
"18","51","Virginia","S1701_C01_018",5330962,2074
"19","51","Virginia","S1701_C01_019",649107,7111
"20","51","Virginia","S1701_C01_020",1330476,8908
"21","51","Virginia","S1701_C01_021",1448625,6648
"22","51","Virginia","S1701_C01_022",1902754,12043
"23","51","Virginia","S1701_C01_023",4160450,8076
"24","51","Virginia","S1701_C01_024",3862978,8409
"25","51","Virginia","S1701_C01_025",1993006,5558
"26","51","Virginia","S1701_C01_026",1869972,5647
"27","51","Virginia","S1701_C01_027",297472,4280
"28","51","Virginia","S1701_C01_028",160400,2894
"29","51","Virginia","S1701_C01_029",137072,2730
"30","51","Virginia","S1701_C01_030",6230678,2259
"31","51","Virginia","S1701_C01_031",2881618,8400
"32","51","Virginia","S1701_C01_032",1455081,8437
"33","51","Virginia","S1701_C01_033",1893979,8513
"34","51","Virginia","S1701_C01_034",405085,8109
"35","51","Virginia","S1701_C01_035",1177176,14004
"36","51","Virginia","S1701_C01_036",1476892,15265
"37","51","Virginia","S1701_C01_037",1915676,18047
"38","51","Virginia","S1701_C01_038",2094692,18868
"39","51","Virginia","S1701_C01_039",1439423,9444
"40","51","Virginia","S1701_C01_040",698724,6440
"41","51","Virginia","S1701_C01_041",740699,5071
"42","51","Virginia","S1701_C01_042",6594,58
"43","51","Virginia","S1701_C01_043",688720,7597
"44","51","Virginia","S1701_C01_044",315238,4837
"45","51","Virginia","S1701_C01_045",435465,4318
"46","51","Virginia","S1701_C01_046",24.5,NA
"47","51","Virginia","S1701_C02_001",887595,12028
"48","51","Virginia","S1701_C02_002",271958,6329
"49","51","Virginia","S1701_C02_003",265820,6284
"50","51","Virginia","S1701_C02_004",538970,6634
"51","51","Virginia","S1701_C02_005",76667,1504
"52","51","Virginia","S1701_C02_006",383885,5971
"53","51","Virginia","S1701_C02_007",503710,7288
"54","51","Virginia","S1701_C02_008",856721,11874
"55","51","Virginia","S1701_C02_009",491024,8188
"56","51","Virginia","S1701_C02_010",294800,5468
"57","51","Virginia","S1701_C02_011",3478,588
"58","51","Virginia","S1701_C02_012",37249,2408
"59","51","Virginia","S1701_C02_013",673,237
"60","51","Virginia","S1701_C02_014",29497,2474
"61","51","Virginia","S1701_C02_015",30874,1970
"62","51","Virginia","S1701_C02_016",99542,4439
"63","51","Virginia","S1701_C02_017",430132,7091
"64","51","Virginia","S1701_C02_018",461739,5228
"65","51","Virginia","S1701_C02_019",144933,2836
"66","51","Virginia","S1701_C02_020",149871,3131
"67","51","Virginia","S1701_C02_021",109176,2210
"68","51","Virginia","S1701_C02_022",57759,1850
"69","51","Virginia","S1701_C02_023",285592,4356
"70","51","Virginia","S1701_C02_024",202881,3574
"71","51","Virginia","S1701_C02_025",83792,2388
"72","51","Virginia","S1701_C02_026",119089,2495
"73","51","Virginia","S1701_C02_027",82711,2496
"74","51","Virginia","S1701_C02_028",40721,1498
"75","51","Virginia","S1701_C02_029",41990,1531
"76","51","Virginia","S1701_C02_030",642976,7257
"77","51","Virginia","S1701_C02_031",54280,1790
"78","51","Virginia","S1701_C02_032",226421,3818
"79","51","Virginia","S1701_C02_033",362275,5455
"80","51","Virginia","S1701_C02_034",NA,NA
"81","51","Virginia","S1701_C02_035",NA,NA
"82","51","Virginia","S1701_C02_036",NA,NA
"83","51","Virginia","S1701_C02_037",NA,NA
"84","51","Virginia","S1701_C02_038",NA,NA
"85","51","Virginia","S1701_C02_039",328747,4052
"86","51","Virginia","S1701_C02_040",143396,2735
"87","51","Virginia","S1701_C02_041",185351,2685
"88","51","Virginia","S1701_C02_042",NA,NA
"89","51","Virginia","S1701_C02_043",17798,1039
"90","51","Virginia","S1701_C02_044",125345,3178
"91","51","Virginia","S1701_C02_045",185604,2983
"92","51","Virginia","S1701_C02_046",NA,NA
"93","51","Virginia","S1701_C03_001",11.3,0.2
"94","51","Virginia","S1701_C03_002",14.9,0.3
"95","51","Virginia","S1701_C03_003",14.6,0.3
"96","51","Virginia","S1701_C03_004",10.7,0.1
"97","51","Virginia","S1701_C03_005",7.7,0.2
"98","51","Virginia","S1701_C03_006",10,0.2
"99","51","Virginia","S1701_C03_007",12.5,0.2
"100","51","Virginia","S1701_C03_008",11.2,0.2
"101","51","Virginia","S1701_C03_009",9,0.1
"102","51","Virginia","S1701_C03_010",19.8,0.4
"103","51","Virginia","S1701_C03_011",14.8,2.1
"104","51","Virginia","S1701_C03_012",8.3,0.5
"105","51","Virginia","S1701_C03_013",12.9,4.3
"106","51","Virginia","S1701_C03_014",16.9,1.3
"107","51","Virginia","S1701_C03_015",13.4,0.8
"108","51","Virginia","S1701_C03_016",15.5,0.7
"109","51","Virginia","S1701_C03_017",8.5,0.1
"110","51","Virginia","S1701_C03_018",8.7,0.1
"111","51","Virginia","S1701_C03_019",22.3,0.4
"112","51","Virginia","S1701_C03_020",11.3,0.2
"113","51","Virginia","S1701_C03_021",7.5,0.1
"114","51","Virginia","S1701_C03_022",3,0.1
"115","51","Virginia","S1701_C03_023",6.9,0.1
"116","51","Virginia","S1701_C03_024",5.3,0.1
"117","51","Virginia","S1701_C03_025",4.2,0.1
"118","51","Virginia","S1701_C03_026",6.4,0.1
"119","51","Virginia","S1701_C03_027",27.8,0.7
"120","51","Virginia","S1701_C03_028",25.4,0.9
"121","51","Virginia","S1701_C03_029",30.6,0.9
"122","51","Virginia","S1701_C03_030",10.3,0.1
"123","51","Virginia","S1701_C03_031",1.9,0.1
"124","51","Virginia","S1701_C03_032",15.6,0.3
"125","51","Virginia","S1701_C03_033",19.1,0.3
"126","51","Virginia","S1701_C03_034",NA,NA
"127","51","Virginia","S1701_C03_035",NA,NA
"128","51","Virginia","S1701_C03_036",NA,NA
"129","51","Virginia","S1701_C03_037",NA,NA
"130","51","Virginia","S1701_C03_038",NA,NA
"131","51","Virginia","S1701_C03_039",22.8,0.2
