"","GEOID","NAME","variable","estimate","moe"
"1","51550","Chesapeake city, Virginia","B02001_001",220837,NA
"2","51550","Chesapeake city, Virginia","B02001_002",138773,839
"3","51550","Chesapeake city, Virginia","B02001_003",65864,642
"4","51550","Chesapeake city, Virginia","B02001_004",917,228
"5","51550","Chesapeake city, Virginia","B02001_005",6707,338
"6","51550","Chesapeake city, Virginia","B02001_006",134,120
"7","51550","Chesapeake city, Virginia","B02001_007",3127,848
"8","51550","Chesapeake city, Virginia","B02001_008",5315,669
"9","51550","Chesapeake city, Virginia","B02001_009",519,200
"10","51550","Chesapeake city, Virginia","B02001_010",4796,644
"11","51620","Franklin city, Virginia","B02001_001",8570,NA
"12","51620","Franklin city, Virginia","B02001_002",3450,8
"13","51620","Franklin city, Virginia","B02001_003",4830,147
"14","51620","Franklin city, Virginia","B02001_004",2,4
"15","51620","Franklin city, Virginia","B02001_005",94,62
"16","51620","Franklin city, Virginia","B02001_006",0,95
"17","51620","Franklin city, Virginia","B02001_007",3,8
"18","51620","Franklin city, Virginia","B02001_008",191,123
"19","51620","Franklin city, Virginia","B02001_009",0,95
"20","51620","Franklin city, Virginia","B02001_010",191,123
"21","51650","Hampton city, Virginia","B02001_001",138148,NA
"22","51650","Hampton city, Virginia","B02001_002",60463,570
"23","51650","Hampton city, Virginia","B02001_003",69205,589
"24","51650","Hampton city, Virginia","B02001_004",712,127
"25","51650","Hampton city, Virginia","B02001_005",3286,190
"26","51650","Hampton city, Virginia","B02001_006",77,91
"27","51650","Hampton city, Virginia","B02001_007",1735,484
"28","51650","Hampton city, Virginia","B02001_008",2670,450
"29","51650","Hampton city, Virginia","B02001_009",168,111
"30","51650","Hampton city, Virginia","B02001_010",2502,441
"31","51700","Newport News city, Virginia","B02001_001",181009,NA
"32","51700","Newport News city, Virginia","B02001_002",91955,795
"33","51700","Newport News city, Virginia","B02001_003",73649,809
"34","51700","Newport News city, Virginia","B02001_004",594,179
"35","51700","Newport News city, Virginia","B02001_005",5249,387
"36","51700","Newport News city, Virginia","B02001_006",353,30
"37","51700","Newport News city, Virginia","B02001_007",3134,749
"38","51700","Newport News city, Virginia","B02001_008",6075,754
"39","51700","Newport News city, Virginia","B02001_009",522,229
"40","51700","Newport News city, Virginia","B02001_010",5553,739
"41","51710","Norfolk city, Virginia","B02001_001",241943,NA
"42","51710","Norfolk city, Virginia","B02001_002",116552,906
"43","51710","Norfolk city, Virginia","B02001_003",104938,1114
"44","51710","Norfolk city, Virginia","B02001_004",967,175
"45","51710","Norfolk city, Virginia","B02001_005",8453,250
"46","51710","Norfolk city, Virginia","B02001_006",501,186
"47","51710","Norfolk city, Virginia","B02001_007",3844,892
"48","51710","Norfolk city, Virginia","B02001_008",6688,681
"49","51710","Norfolk city, Virginia","B02001_009",693,272
"50","51710","Norfolk city, Virginia","B02001_010",5995,657
"51","51735","Poquoson city, Virginia","B02001_001",12097,NA
"52","51735","Poquoson city, Virginia","B02001_002",11544,40
"53","51735","Poquoson city, Virginia","B02001_003",36,51
"54","51735","Poquoson city, Virginia","B02001_004",0,95
"55","51735","Poquoson city, Virginia","B02001_005",381,101
"56","51735","Poquoson city, Virginia","B02001_006",0,95
"57","51735","Poquoson city, Virginia","B02001_007",17,25
"58","51735","Poquoson city, Virginia","B02001_008",119,81
"59","51735","Poquoson city, Virginia","B02001_009",16,20
"60","51735","Poquoson city, Virginia","B02001_010",103,79
"61","51740","Portsmouth city, Virginia","B02001_001",96066,NA
"62","51740","Portsmouth city, Virginia","B02001_002",40612,335
"63","51740","Portsmouth city, Virginia","B02001_003",50100,590
"64","51740","Portsmouth city, Virginia","B02001_004",249,140
"65","51740","Portsmouth city, Virginia","B02001_005",1041,159
"66","51740","Portsmouth city, Virginia","B02001_006",112,142
"67","51740","Portsmouth city, Virginia","B02001_007",876,253
"68","51740","Portsmouth city, Virginia","B02001_008",3076,727
"69","51740","Portsmouth city, Virginia","B02001_009",304,166
"70","51740","Portsmouth city, Virginia","B02001_010",2772,679
"71","51800","Suffolk city, Virginia","B02001_001",83465,NA
"72","51800","Suffolk city, Virginia","B02001_002",43874,329
"73","51800","Suffolk city, Virginia","B02001_003",34819,505
"74","51800","Suffolk city, Virginia","B02001_004",112,83
"75","51800","Suffolk city, Virginia","B02001_005",1301,195
"76","51800","Suffolk city, Virginia","B02001_006",4,7
"77","51800","Suffolk city, Virginia","B02001_007",667,302
"78","51800","Suffolk city, Virginia","B02001_008",2688,563
"79","51800","Suffolk city, Virginia","B02001_009",87,100
"80","51800","Suffolk city, Virginia","B02001_010",2601,541
"81","51810","Virginia Beach city, Virginia","B02001_001",436979,NA
"82","51810","Virginia Beach city, Virginia","B02001_002",301492,949
"83","51810","Virginia Beach city, Virginia","B02001_003",84807,1019
"84","51810","Virginia Beach city, Virginia","B02001_004",1155,241
"85","51810","Virginia Beach city, Virginia","B02001_005",26720,674
"86","51810","Virginia Beach city, Virginia","B02001_006",483,157
"87","51810","Virginia Beach city, Virginia","B02001_007",5341,789
"88","51810","Virginia Beach city, Virginia","B02001_008",16981,1337
"89","51810","Virginia Beach city, Virginia","B02001_009",1577,418
"90","51810","Virginia Beach city, Virginia","B02001_010",15404,1261
"91","51830","Williamsburg city, Virginia","B02001_001",13741,NA
"92","51830","Williamsburg city, Virginia","B02001_002",10357,184
"93","51830","Williamsburg city, Virginia","B02001_003",1671,263
"94","51830","Williamsburg city, Virginia","B02001_004",0,95
"95","51830","Williamsburg city, Virginia","B02001_005",985,262
"96","51830","Williamsburg city, Virginia","B02001_006",0,95
"97","51830","Williamsburg city, Virginia","B02001_007",241,205
"98","51830","Williamsburg city, Virginia","B02001_008",487,187
