Year,NAME,variable,Male,variable2,Female,variable3,Total,BlackGeneral
2019,"Gloucester County, Virginia",C15002B_006,205,C15002B_011,318,C15002B_001,2482,21.071716357775987
2019,"Isle of Wight County, Virginia",C15002B_006,294,C15002B_011,625,C15002B_001,5872,15.650544959128066
2019,"James City County, Virginia",C15002B_006,705,C15002B_011,952,C15002B_001,6554,25.282270369240155
2019,"Mathews County, Virginia",C15002B_006,0,C15002B_011,0,C15002B_001,661,0
2019,"Southampton County, Virginia",C15002B_006,268,C15002B_011,445,C15002B_001,4393,16.230366492146597
2019,"York County, Virginia",C15002B_006,960,C15002B_011,1175,C15002B_001,6138,34.78331704138156
2019,"Chesapeake city, Virginia",C15002B_006,4616,C15002B_011,8672,C15002B_001,47374,28.049140878963147
2019,"Franklin city, Virginia",C15002B_006,116,C15002B_011,288,C15002B_001,2964,13.630229419703104
2019,"Hampton city, Virginia",C15002B_006,4009,C15002B_011,7243,C15002B_001,43856,25.656694636993798
2019,"Newport News city, Virginia",C15002B_006,3079,C15002B_011,5646,C15002B_001,46087,18.931585913598195
2019,"Norfolk city, Virginia",C15002B_006,3832,C15002B_011,5525,C15002B_001,60350,15.504556752278376
2019,"Poquoson city, Virginia",C15002B_006,0,C15002B_011,10,C15002B_001,103,9.70873786407767
2019,"Portsmouth city, Virginia",C15002B_006,1971,C15002B_011,3988,C15002B_001,32391,18.397085610200364
2019,"Suffolk city, Virginia",C15002B_006,2119,C15002B_011,3461,C15002B_001,24329,22.935591269678163
2019,"Virginia Beach city, Virginia",C15002B_006,5524,C15002B_011,9169,C15002B_001,55744,26.357993685419057
2019,"Williamsburg city, Virginia",C15002B_006,159,C15002B_011,49,C15002B_001,1211,17.17588769611891
