NAME,variable,individualEstimates,sectors
"Chesapeake city, Virginia",DP03_0042,26795,"Educational services, and health care and social assistance"
"Chesapeake city, Virginia",DP03_0041,13096,"Professional, scientific, and management, and administrative and waste management services"
"Franklin city, Virginia",DP03_0042,995,"Educational services, and health care and social assistance"
"Franklin city, Virginia",DP03_0035,744,Manufacturing
"Gloucester County, Virginia",DP03_0042,3488,"Educational services, and health care and social assistance"
"Gloucester County, Virginia",DP03_0037,2539,Retail trade
"Hampton city, Virginia",DP03_0042,13615,"Educational services, and health care and social assistance"
"Hampton city, Virginia",DP03_0041,7800,"Professional, scientific, and management, and administrative and waste management services"
"Isle of Wight County, Virginia",DP03_0042,3581,"Educational services, and health care and social assistance"
"Isle of Wight County, Virginia",DP03_0035,3230,Manufacturing
"James City County, Virginia",DP03_0042,8815,"Educational services, and health care and social assistance"
"James City County, Virginia",DP03_0043,4626,"Arts, entertainment, and recreation, and accommodation and food services"
"Mathews County, Virginia",DP03_0042,819,"Educational services, and health care and social assistance"
"Mathews County, Virginia",DP03_0034,577,Construction
"Newport News city, Virginia",DP03_0042,19069,"Educational services, and health care and social assistance"
"Newport News city, Virginia",DP03_0035,11121,Manufacturing
"Norfolk city, Virginia",DP03_0042,24213,"Educational services, and health care and social assistance"
"Norfolk city, Virginia",DP03_0043,13414,"Arts, entertainment, and recreation, and accommodation and food services"
"Poquoson city, Virginia",DP03_0042,1149,"Educational services, and health care and social assistance"
"Poquoson city, Virginia",DP03_0041,873,"Professional, scientific, and management, and administrative and waste management services"
"Portsmouth city, Virginia",DP03_0042,10137,"Educational services, and health care and social assistance"
"Portsmouth city, Virginia",DP03_0037,5528,Retail trade
"Southampton County, Virginia",DP03_0042,1813,"Educational services, and health care and social assistance"
"Southampton County, Virginia",DP03_0035,1090,Manufacturing
"Suffolk city, Virginia",DP03_0042,10604,"Educational services, and health care and social assistance"
"Suffolk city, Virginia",DP03_0035,5305,Manufacturing
"Virginia Beach city, Virginia",DP03_0042,50897,"Educational services, and health care and social assistance"
"Virginia Beach city, Virginia",DP03_0041,28354,"Professional, scientific, and management, and administrative and waste management services"
"Williamsburg city, Virginia",DP03_0042,2173,"Educational services, and health care and social assistance"
"Williamsburg city, Virginia",DP03_0043,1196,"Arts, entertainment, and recreation, and accommodation and food services"
"York County, Virginia",DP03_0042,7181,"Educational services, and health care and social assistance"
"York County, Virginia",DP03_0041,4429,"Professional, scientific, and management, and administrative and waste management services"
