NAME,variable,individualEstimates
"Gloucester County, Virginia",S1501_C01_015,22.9
"Isle of Wight County, Virginia",S1501_C01_015,26.1
"James City County, Virginia",S1501_C01_015,46.1
"Mathews County, Virginia",S1501_C01_015,29
"Southampton County, Virginia",S1501_C01_015,14.8
"York County, Virginia",S1501_C01_015,42
"Chesapeake city, Virginia",S1501_C01_015,29.4
"Franklin city, Virginia",S1501_C01_015,19.8
"Hampton city, Virginia",S1501_C01_015,23.3
"Newport News city, Virginia",S1501_C01_015,24.1
"Norfolk city, Virginia",S1501_C01_015,25.6
"Poquoson city, Virginia",S1501_C01_015,35.8
"Portsmouth city, Virginia",S1501_C01_015,19.5
"Suffolk city, Virginia",S1501_C01_015,26.1
"Virginia Beach city, Virginia",S1501_C01_015,33.5
"Williamsburg city, Virginia",S1501_C01_015,48.6
