NAME,variable,pct_tot
"Gloucester County, Virginia",S1501_C01_015,22.841018786663696
"Isle of Wight County, Virginia",S1501_C01_015,28.15151746808348
"James City County, Virginia",S1501_C01_015,49.59763998581004
"Mathews County, Virginia",S1501_C01_015,27.97253870873503
"Southampton County, Virginia",S1501_C01_015,17.825988014867633
"York County, Virginia",S1501_C01_015,45.44071272631045
"Chesapeake city, Virginia",S1501_C01_015,32.45057673570733
"Franklin city, Virginia",S1501_C01_015,21.139218114275607
"Hampton city, Virginia",S1501_C01_015,26.77838615120845
"Newport News city, Virginia",S1501_C01_015,25.495019697569198
"Norfolk city, Virginia",S1501_C01_015,28.006452585952513
"Poquoson city, Virginia",S1501_C01_015,42.84526778292364
"Portsmouth city, Virginia",S1501_C01_015,21.280816095211108
"Suffolk city, Virginia",S1501_C01_015,28.115812029700503
"Virginia Beach city, Virginia",S1501_C01_015,35.1831960072833
"Williamsburg city, Virginia",S1501_C01_015,56.66620897981601
