"","GEOID","NAME","variable","estimate","moe"
"1","51550","Chesapeake city, Virginia","B01001_001",239982,NA
"2","51550","Chesapeake city, Virginia","B01001_002",117267,99
"3","51550","Chesapeake city, Virginia","B01001_003",7672,54
"4","51550","Chesapeake city, Virginia","B01001_004",8465,571
"5","51550","Chesapeake city, Virginia","B01001_005",8061,560
"6","51550","Chesapeake city, Virginia","B01001_006",5362,61
"7","51550","Chesapeake city, Virginia","B01001_007",3032,162
"8","51550","Chesapeake city, Virginia","B01001_008",1711,337
"9","51550","Chesapeake city, Virginia","B01001_009",1591,268
"10","51550","Chesapeake city, Virginia","B01001_010",4502,393
"11","51550","Chesapeake city, Virginia","B01001_011",8543,47
"12","51550","Chesapeake city, Virginia","B01001_012",8548,27
"13","51550","Chesapeake city, Virginia","B01001_013",8237,548
"14","51550","Chesapeake city, Virginia","B01001_014",7623,534
"15","51550","Chesapeake city, Virginia","B01001_015",7719,53
"16","51550","Chesapeake city, Virginia","B01001_016",7962,49
"17","51550","Chesapeake city, Virginia","B01001_017",8270,378
"18","51550","Chesapeake city, Virginia","B01001_018",2862,318
"19","51550","Chesapeake city, Virginia","B01001_019",3634,347
"20","51550","Chesapeake city, Virginia","B01001_020",2010,284
"21","51550","Chesapeake city, Virginia","B01001_021",2838,325
"22","51550","Chesapeake city, Virginia","B01001_022",3834,324
"23","51550","Chesapeake city, Virginia","B01001_023",2476,193
"24","51550","Chesapeake city, Virginia","B01001_024",1427,233
"25","51550","Chesapeake city, Virginia","B01001_025",888,157
"26","51550","Chesapeake city, Virginia","B01001_026",122715,99
"27","51550","Chesapeake city, Virginia","B01001_027",7472,59
"28","51550","Chesapeake city, Virginia","B01001_028",8258,502
"29","51550","Chesapeake city, Virginia","B01001_029",7833,499
"30","51550","Chesapeake city, Virginia","B01001_030",5055,23
"31","51550","Chesapeake city, Virginia","B01001_031",2632,80
"32","51550","Chesapeake city, Virginia","B01001_032",1383,274
"33","51550","Chesapeake city, Virginia","B01001_033",1349,220
"34","51550","Chesapeake city, Virginia","B01001_034",4562,312
"35","51550","Chesapeake city, Virginia","B01001_035",8254,33
"36","51550","Chesapeake city, Virginia","B01001_036",8633,43
"37","51550","Chesapeake city, Virginia","B01001_037",9289,524
"38","51550","Chesapeake city, Virginia","B01001_038",7350,510
"39","51550","Chesapeake city, Virginia","B01001_039",7968,24
"40","51550","Chesapeake city, Virginia","B01001_040",8651,32
"41","51550","Chesapeake city, Virginia","B01001_041",8341,441
"42","51550","Chesapeake city, Virginia","B01001_042",3441,409
"43","51550","Chesapeake city, Virginia","B01001_043",4632,386
"44","51550","Chesapeake city, Virginia","B01001_044",2619,334
"45","51550","Chesapeake city, Virginia","B01001_045",3330,330
"46","51550","Chesapeake city, Virginia","B01001_046",4490,388
"47","51550","Chesapeake city, Virginia","B01001_047",3165,364
"48","51550","Chesapeake city, Virginia","B01001_048",1886,300
"49","51550","Chesapeake city, Virginia","B01001_049",2122,266
"50","51620","Franklin city, Virginia","B01001_001",8147,NA
"51","51620","Franklin city, Virginia","B01001_002",3640,165
"52","51620","Franklin city, Virginia","B01001_003",261,132
"53","51620","Franklin city, Virginia","B01001_004",365,136
"54","51620","Franklin city, Virginia","B01001_005",268,125
"55","51620","Franklin city, Virginia","B01001_006",118,87
"56","51620","Franklin city, Virginia","B01001_007",20,35
"57","51620","Franklin city, Virginia","B01001_008",82,89
"58","51620","Franklin city, Virginia","B01001_009",11,18
"59","51620","Franklin city, Virginia","B01001_010",39,45
"60","51620","Franklin city, Virginia","B01001_011",338,93
"61","51620","Franklin city, Virginia","B01001_012",233,114
"62","51620","Franklin city, Virginia","B01001_013",345,162
"63","51620","Franklin city, Virginia","B01001_014",159,104
"64","51620","Franklin city, Virginia","B01001_015",158,69
"65","51620","Franklin city, Virginia","B01001_016",135,36
"66","51620","Franklin city, Virginia","B01001_017",216,91
"67","51620","Franklin city, Virginia","B01001_018",116,75
"68","51620","Franklin city, Virginia","B01001_019",100,63
"69","51620","Franklin city, Virginia","B01001_020",70,51
"70","51620","Franklin city, Virginia","B01001_021",201,97
"71","51620","Franklin city, Virginia","B01001_022",186,84
"72","51620","Franklin city, Virginia","B01001_023",106,63
"73","51620","Franklin city, Virginia","B01001_024",49,54
"74","51620","Franklin city, Virginia","B01001_025",64,62
"75","51620","Franklin city, Virginia","B01001_026",4507,165
"76","51620","Franklin city, Virginia","B01001_027",285,130
"77","51620","Franklin city, Virginia","B01001_028",371,113
"78","51620","Franklin city, Virginia","B01001_029",214,90
"79","51620","Franklin city, Virginia","B01001_030",169,65
"80","51620","Franklin city, Virginia","B01001_031",54,57
"81","51620","Franklin city, Virginia","B01001_032",15,27
"82","51620","Franklin city, Virginia","B01001_033",12,19
"83","51620","Franklin city, Virginia","B01001_034",101,79
"84","51620","Franklin city, Virginia","B01001_035",284,99
"85","51620","Franklin city, Virginia","B01001_036",248,129
"86","51620","Franklin city, Virginia","B01001_037",331,185
"87","51620","Franklin city, Virginia","B01001_038",260,189
"88","51620","Franklin city, Virginia","B01001_039",244,69
"89","51620","Franklin city, Virginia","B01001_040",333,96
"90","51620","Franklin city, Virginia","B01001_041",283,81
"91","51620","Franklin city, Virginia","B01001_042",200,96
"92","51620","Franklin city, Virginia","B01001_043",208,91
"93","51620","Franklin city, Virginia","B01001_044",146,61
"94","51620","Franklin city, Virginia","B01001_045",186,70
"95","51620","Franklin city, Virginia","B01001_046",135,68
"96","51620","Franklin city, Virginia","B01001_047",178,65
"97","51620","Franklin city, Virginia","B01001_048",84,47
"98","51620","Franklin city, Virginia","B01001_049",166,70
"99","51650","Hampton city, Virginia","B01001_001",135041,NA
"100","51650","Hampton city, Virginia","B01001_002",65105,176
"101","51650","Hampton city, Virginia","B01001_003",4226,86
"102","51650","Hampton city, Virginia","B01001_004",3550,288
"103","51650","Hampton city, Virginia","B01001_005",4375,269
"104","51650","Hampton city, Virginia","B01001_006",2497,100
"105","51650","Hampton city, Virginia","B01001_007",1999,111
"106","51650","Hampton city, Virginia","B01001_008",1546,340
"107","51650","Hampton city, Virginia","B01001_009",1352,315
"108","51650","Hampton city, Virginia","B01001_010",3436,382
"109","51650","Hampton city, Virginia","B01001_011",5855,94
"110","51650","Hampton city, Virginia","B01001_012",4760,105
"111","51650","Hampton city, Virginia","B01001_013",4229,370
"112","51650","Hampton city, Virginia","B01001_014",2860,367
"113","51650","Hampton city, Virginia","B01001_015",3295,111
"114","51650","Hampton city, Virginia","B01001_016",4068,101
"115","51650","Hampton city, Virginia","B01001_017",4648,322
"116","51650","Hampton city, Virginia","B01001_018",1602,226
"117","51650","Hampton city, Virginia","B01001_019",2302,333
"118","51650","Hampton city, Virginia","B01001_020",1237,237
"119","51650","Hampton city, Virginia","B01001_021",2099,373
"120","51650","Hampton city, Virginia","B01001_022",1937,291
"121","51650","Hampton city, Virginia","B01001_023",1521,187
"122","51650","Hampton city, Virginia","B01001_024",817,157
"123","51650","Hampton city, Virginia","B01001_025",894,161
"124","51650","Hampton city, Virginia","B01001_026",69936,176
"125","51650","Hampton city, Virginia","B01001_027",4053,67
"126","51650","Hampton city, Virginia","B01001_028",3222,330
"127","51650","Hampton city, Virginia","B01001_029",4464,364
"128","51650","Hampton city, Virginia","B01001_030",2125,71
"129","51650","Hampton city, Virginia","B01001_031",2166,83
"130","51650","Hampton city, Virginia","B01001_032",1005,248
"131","51650","Hampton city, Virginia","B01001_033",1196,261
"132","51650","Hampton city, Virginia","B01001_034",3324,367
"133","51650","Hampton city, Virginia","B01001_035",5573,119
"134","51650","Hampton city, Virginia","B01001_036",5012,50
"135","51650","Hampton city, Virginia","B01001_037",4447,360
"136","51650","Hampton city, Virginia","B01001_038",3559,379
"137","51650","Hampton city, Virginia","B01001_039",3855,116
"138","51650","Hampton city, Virginia","B01001_040",4583,102
"139","51650","Hampton city, Virginia","B01001_041",5391,353
"140","51650","Hampton city, Virginia","B01001_042",1862,274
"141","51650","Hampton city, Virginia","B01001_043",2389,306
"142","51650","Hampton city, Virginia","B01001_044",1495,208
"143","51650","Hampton city, Virginia","B01001_045",2059,268
"144","51650","Hampton city, Virginia","B01001_046",2964,283
"145","51650","Hampton city, Virginia","B01001_047",1935,222
"146","51650","Hampton city, Virginia","B01001_048",1513,208
"147","51650","Hampton city, Virginia","B01001_049",1744,275
"148","51700","Newport News city, Virginia","B01001_001",179673,NA
"149","51700","Newport News city, Virginia","B01001_002",86860,123
"150","51700","Newport News city, Virginia","B01001_003",6771,27
"151","51700","Newport News city, Virginia","B01001_004",5827,481
"152","51700","Newport News city, Virginia","B01001_005",5566,469
"153","51700","Newport News city, Virginia","B01001_006",3182,59
"154","51700","Newport News city, Virginia","B01001_007",3152,147
"155","51700","Newport News city, Virginia","B01001_008",1681,265
"156","51700","Newport News city, Virginia","B01001_009",1837,304
"157","51700","Newport News city, Virginia","B01001_010",4496,354
"158","51700","Newport News city, Virginia","B01001_011",8166,4
"159","51700","Newport News city, Virginia","B01001_012",7008,29
"160","51700","Newport News city, Virginia","B01001_013",5805,390
"161","51700","Newport News city, Virginia","B01001_014",4621,390
"162","51700","Newport News city, Virginia","B01001_015",4561,60
"163","51700","Newport News city, Virginia","B01001_016",5086,33
"164","51700","Newport News city, Virginia","B01001_017",4565,303
"165","51700","Newport News city, Virginia","B01001_018",2341,284
"166","51700","Newport News city, Virginia","B01001_019",2917,308
"167","51700","Newport News city, Virginia","B01001_020",1433,217
"168","51700","Newport News city, Virginia","B01001_021",1819,210
"169","51700","Newport News city, Virginia","B01001_022",2491,231
"170","51700","Newport News city, Virginia","B01001_023",1831,204
"171","51700","Newport News city, Virginia","B01001_024",912,162
"172","51700","Newport News city, Virginia","B01001_025",792,158
"173","51700","Newport News city, Virginia","B01001_026",92813,123
"174","51700","Newport News city, Virginia","B01001_027",6346,38
"175","51700","Newport News city, Virginia","B01001_028",6227,393
"176","51700","Newport News city, Virginia","B01001_029",4692,389
"177","51700","Newport News city, Virginia","B01001_030",3092,73
"178","51700","Newport News city, Virginia","B01001_031",3060,122
"179","51700","Newport News city, Virginia","B01001_032",2098,350
"180","51700","Newport News city, Virginia","B01001_033",1241,240
"181","51700","Newport News city, Virginia","B01001_034",3962,368
"182","51700","Newport News city, Virginia","B01001_035",8096,42
"183","51700","Newport News city, Virginia","B01001_036",7240,48
"184","51700","Newport News city, Virginia","B01001_037",5646,405
"185","51700","Newport News city, Virginia","B01001_038",5421,408
"186","51700","Newport News city, Virginia","B01001_039",5195,69
"187","51700","Newport News city, Virginia","B01001_040",5743,25
"188","51700","Newport News city, Virginia","B01001_041",6195,356
"189","51700","Newport News city, Virginia","B01001_042",2284,298
"190","51700","Newport News city, Virginia","B01001_043",2809,289
"191","51700","Newport News city, Virginia","B01001_044",1854,264
"192","51700","Newport News city, Virginia","B01001_045",2578,269
"193","51700","Newport News city, Virginia","B01001_046",3112,293
"194","51700","Newport News city, Virginia","B01001_047",2354,228
"195","51700","Newport News city, Virginia","B01001_048",1635,218
"196","51700","Newport News city, Virginia","B01001_049",1933,240
"197","51710","Norfolk city, Virginia","B01001_001",244601,NA
"198","51710","Norfolk city, Virginia","B01001_002",127723,66
"199","51710","Norfolk city, Virginia","B01001_003",8188,40
"200","51710","Norfolk city, Virginia","B01001_004",6675,318
"201","51710","Norfolk city, Virginia","B01001_005",6295,308
"202","51710","Norfolk city, Virginia","B01001_006",3332,19
"203","51710","Norfolk city, Virginia","B01001_007",5277,248
"204","51710","Norfolk city, Virginia","B01001_008",4069,394
"205","51710","Norfolk city, Virginia","B01001_009",4988,533
"206","51710","Norfolk city, Virginia","B01001_010",12486,643
"207","51710","Norfolk city, Virginia","B01001_011",15275,98
"208","51710","Norfolk city, Virginia","B01001_012",10942,39
