"","GEOID","NAME","variable","estimate","moe"
"1","51","Virginia","B01001_001",7926192,NA
"2","51","Virginia","B01001_002",3891319,1401
"3","51","Virginia","B01001_003",258680,813
"4","51","Virginia","B01001_004",257358,2602
"5","51","Virginia","B01001_005",262327,2791
"6","51","Virginia","B01001_006",165176,729
"7","51","Virginia","B01001_007",119912,1276
"8","51","Virginia","B01001_008",63538,1771
"9","51","Virginia","B01001_009",60068,1761
"10","51","Virginia","B01001_010",169714,2144
"11","51","Virginia","B01001_011",276128,1074
"12","51","Virginia","B01001_012",258382,1111
"13","51","Virginia","B01001_013",267391,3011
"14","51","Virginia","B01001_014",290141,3074
"15","51","Virginia","B01001_015",301625,801
"16","51","Virginia","B01001_016",283051,810
"17","51","Virginia","B01001_017",239763,2162
"18","51","Virginia","B01001_018",91806,1862
"19","51","Virginia","B01001_019",115756,1912
"20","51","Virginia","B01001_020",63825,1525
"21","51","Virginia","B01001_021",80884,1516
"22","51","Virginia","B01001_022",104192,1770
"23","51","Virginia","B01001_023",75320,1216
"24","51","Virginia","B01001_024",49728,1279
"25","51","Virginia","B01001_025",36554,1129
"26","51","Virginia","B01001_026",4034873,1401
"27","51","Virginia","B01001_027",248229,755
"28","51","Virginia","B01001_028",246461,2608
"29","51","Virginia","B01001_029",249965,2493
"30","51","Virginia","B01001_030",155731,756
"31","51","Virginia","B01001_031",114919,1294
"32","51","Virginia","B01001_032",59640,1863
"33","51","Virginia","B01001_033",57105,1799
"34","51","Virginia","B01001_034",157372,2193
"35","51","Virginia","B01001_035",273880,840
"36","51","Virginia","B01001_036",261784,849
"37","51","Virginia","B01001_037",274001,3072
"38","51","Virginia","B01001_038",295868,2935
"39","51","Virginia","B01001_039",312459,739
"40","51","Virginia","B01001_040",298412,675
"41","51","Virginia","B01001_041",258067,2191
"42","51","Virginia","B01001_042",100324,1804
"43","51","Virginia","B01001_043",125119,1704
"44","51","Virginia","B01001_044",69647,1552
"45","51","Virginia","B01001_045",93493,1539
"46","51","Virginia","B01001_046",122207,1761
"47","51","Virginia","B01001_047",100108,1666
"48","51","Virginia","B01001_048",78769,1694
"49","51","Virginia","B01001_049",81313,1568
