Cohort Year,Division Number,Division Name,Type of Graduation Rate,Rate Type,Graduation Rate,Students in Cohort,Total Graduates,Completion Rate,Dropout Rate
2010,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,88.44%,"3,349","2,962",91.64%,6.39%
2010,135,Franklin City,On-Time Graduation Rate,4 yr rate,76.61%,124,95,79.84%,16.94%
2010,36,Gloucester County,On-Time Graduation Rate,4 yr rate,78.85%,520,410,85.38%,9.42%
2010,112,Hampton City,On-Time Graduation Rate,4 yr rate,79.40%,"1,806","1,434",87.43%,9.14%
2010,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,85.78%,429,368,88.81%,9.32%
2010,57,Mathews County,On-Time Graduation Rate,4 yr rate,93.52%,108,101,95.37%,1.85%
2010,117,Newport News City,On-Time Graduation Rate,4 yr rate,76.79%,"2,408","1,849",83.01%,11.30%
2010,118,Norfolk City,On-Time Graduation Rate,4 yr rate,74.16%,"2,245","1,665",79.47%,15.19%
2010,142,Poquoson City,On-Time Graduation Rate,4 yr rate,91.44%,222,203,96.85%,2.70%
2010,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,67.86%,"1,226",832,71.21%,20.07%
2010,87,Southampton County,On-Time Graduation Rate,4 yr rate,77.92%,240,187,81.25%,12.08%
2010,127,Suffolk City,On-Time Graduation Rate,4 yr rate,80.55%,"1,100",886,83.82%,11.82%
2010,128,Virginia Beach City,On-Time Graduation Rate,4 yr rate,85.49%,"5,810","4,967",89.78%,6.82%
2010,131,Williamsburg-James City County,On-Time Graduation Rate,4 yr rate,83.65%,850,710,88.59%,7.88%
2010,98,York County,On-Time Graduation Rate,4 yr rate,91.86%,"1,093","1,004",93.23%,4.48%
2011,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,90.37%,"3,417","3,088",93.06%,5.50%
2011,135,Franklin City,On-Time Graduation Rate,4 yr rate,84.47%,103,87,86.41%,9.71%
2011,36,Gloucester County,On-Time Graduation Rate,4 yr rate,86.74%,543,471,90.06%,7.18%
2011,112,Hampton City,On-Time Graduation Rate,4 yr rate,84.69%,"1,764","1,494",91.21%,4.88%
2011,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,88.45%,459,406,89.32%,6.75%
2011,57,Mathews County,On-Time Graduation Rate,4 yr rate,91.67%,120,110,93.33%,2.50%
2011,117,Newport News City,On-Time Graduation Rate,4 yr rate,80.73%,"2,273","1,835",86.93%,7.04%
2011,118,Norfolk City,On-Time Graduation Rate,4 yr rate,73.65%,"2,330","1,716",79.40%,15.11%
2011,142,Poquoson City,On-Time Graduation Rate,4 yr rate,93.13%,233,217,95.28%,1.72%
2011,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,77.39%,"1,110",859,80.27%,13.51%
2011,87,Southampton County,On-Time Graduation Rate,4 yr rate,86.15%,231,199,88.74%,7.79%
2011,127,Suffolk City,On-Time Graduation Rate,4 yr rate,81.15%,"1,114",904,84.47%,10.86%
2011,128,Virginia Beach City,On-Time Graduation Rate,4 yr rate,86.76%,"5,643","4,896",90.77%,6.18%
2011,131,Williamsburg-James City County,On-Time Graduation Rate,4 yr rate,87.20%,883,770,92.53%,3.28%
2011,98,York County,On-Time Graduation Rate,4 yr rate,94.06%,"1,010",950,95.35%,3.27%
2012,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,91.19%,"3,290","3,000",94.59%,4.35%
2012,135,Franklin City,On-Time Graduation Rate,4 yr rate,78.76%,113,89,82.30%,15.93%
2012,36,Gloucester County,On-Time Graduation Rate,4 yr rate,88.30%,487,430,90.14%,5.75%
2012,112,Hampton City,On-Time Graduation Rate,4 yr rate,84.33%,"1,832","1,545",90.88%,5.19%
2012,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,87.03%,455,396,89.45%,6.59%
2012,57,Mathews County,On-Time Graduation Rate,4 yr rate,97.94%,97,95,97.94%,2.06%
2012,117,Newport News City,On-Time Graduation Rate,4 yr rate,82.97%,"2,261","1,876",88.81%,6.24%
2012,118,Norfolk City,On-Time Graduation Rate,4 yr rate,76.94%,"2,203","1,695",84.38%,10.62%
2012,142,Poquoson City,On-Time Graduation Rate,4 yr rate,94.12%,204,192,97.06%,0.98%
2012,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,80.81%,"1,084",876,84.13%,11.72%
2012,87,Southampton County,On-Time Graduation Rate,4 yr rate,86.90%,229,199,87.34%,9.17%
2012,127,Suffolk City,On-Time Graduation Rate,4 yr rate,84.09%,"1,056",888,86.55%,9.94%
2012,128,Virginia Beach City,On-Time Graduation Rate,4 yr rate,86.87%,"5,642","4,900",91.23%,5.62%
2012,131,Williamsburg-James City County,On-Time Graduation Rate,4 yr rate,88.85%,897,797,93.65%,4.79%
2012,98,York County,On-Time Graduation Rate,4 yr rate,94.32%,"1,092","1,030",94.96%,3.02%
2013,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,92.17%,"3,283","3,026",94.88%,3.81%
2013,135,Franklin City,On-Time Graduation Rate,4 yr rate,77.65%,85,66,82.35%,14.12%
2013,36,Gloucester County,On-Time Graduation Rate,4 yr rate,87.87%,511,449,90.41%,7.24%
2013,112,Hampton City,On-Time Graduation Rate,4 yr rate,85.44%,"1,854","1,584",92.07%,3.78%
2013,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,88.93%,506,450,91.30%,6.72%
2013,57,Mathews County,On-Time Graduation Rate,4 yr rate,95.00%,100,95,96.00%,3.00%
2013,117,Newport News City,On-Time Graduation Rate,4 yr rate,85.20%,"2,102","1,791",90.06%,4.38%
2013,118,Norfolk City,On-Time Graduation Rate,4 yr rate,77.93%,"2,062","1,607",85.65%,9.99%
2013,142,Poquoson City,On-Time Graduation Rate,4 yr rate,93.20%,206,192,96.60%,2.91%
2013,121,Portsmouth City,On-Time Graduation Rate,4 yr rate,80.86%,"1,113",900,85.89%,10.42%
2013,87,Southampton County,On-Time Graduation Rate,4 yr rate,80.72%,223,180,82.96%,13.45%
2013,127,Suffolk City,On-Time Graduation Rate,4 yr rate,87.25%,"1,098",958,89.25%,8.11%
2013,128,Virginia Beach City,On-Time Graduation Rate,4 yr rate,88.05%,"5,355","4,715",92.27%,4.71%
2013,131,Williamsburg-James City County,On-Time Graduation Rate,4 yr rate,88.99%,872,776,92.78%,5.28%
2013,98,York County,On-Time Graduation Rate,4 yr rate,94.41%,"1,073","1,013",95.81%,2.42%
2014,136,Chesapeake City,On-Time Graduation Rate,4 yr rate,92.93%,"3,154","2,931",95.75%,2.82%
2014,135,Franklin City,On-Time Graduation Rate,4 yr rate,84.44%,90,76,87.78%,10.00%
2014,36,Gloucester County,On-Time Graduation Rate,4 yr rate,92.62%,474,439,94.09%,3.38%
2014,112,Hampton City,On-Time Graduation Rate,4 yr rate,83.81%,"1,680","1,408",89.94%,5.06%
2014,46,Isle of Wight County,On-Time Graduation Rate,4 yr rate,92.57%,444,411,94.37%,4.50%
2014,57,Mathews County,On-Time Graduation Rate,4 yr rate,91.26%,103,94,94.17%,5.83%
2014,117,Newport News City,On-Time Graduation Rate,4 yr rate,87.93%,"2,030","1,785",92.66%,2.76%
2014,118,Norfolk City,On-Time Graduation Rate,4 yr rate,78.95%,"2,057","1,624",86.78%,7.97%
2014,142,Poquoson City,On-Time Graduation Rate,4 yr rate,96.37%,193,186,97.93%,2.07%
