INCIDENT DATE,AGENCY NAME,JURISDICTION,REASON FOR STOP,PERSON TYPE,RACE,ETHNICITY,AGE,GENDER,ENGLISH SPEAKING,ACTION TAKEN,VIOLATION TYPE,SPECIFIC VIOLATION,VIRGINIA CRIME CODE,PERSON SEARCHED?,VEHICLE SEARCHED?,ADDITIONAL ARREST?,PHYSICAL FORCE BY OFFICER,PHYSICAL FORCE BY SUBJECT,RESIDENCY
7/1/2021 0:00,Gloucester County Sheriff's Office,GLOUCESTER CO,TRAFFIC VIOLATION,Driver,WHITE,NON-HISPANIC,24,MALE,YES,CITATION/SUMMONS,,46.2-300,,NO,NO,,NO,NO,
7/1/2021 0:00,Boykins Police Department,SOUTHAMPTON CO,TRAFFIC VIOLATION,Driver,WHITE,NON-HISPANIC,37,MALE,YES,CITATION/SUMMONS,,46.2-1080,,NO,NO,,NO,NO,Out of State resident
7/1/2021 0:00,Boykins Police Department,SOUTHAMPTON CO,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,50,FEMALE,YES,WARNING,,46.2-875,,NO,NO,,NO,NO,Out of State resident
7/1/2021 0:00,Branchville Police Department,SOUTHAMPTON CO,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,30,MALE,YES,CITATION/SUMMONS,,46.2-875,,NO,NO,,NO,NO,Out of State resident
7/1/2021 0:00,Branchville Police Department,SOUTHAMPTON CO,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,36,MALE,YES,CITATION/SUMMONS,,46.2-1080,,NO,NO,,NO,NO,Out of State resident
7/1/2021 0:00,Branchville Police Department,SOUTHAMPTON CO,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,46,MALE,YES,CITATION/SUMMONS,,46.2-1080,,NO,NO,,NO,NO,Out of State resident
7/1/2021 0:00,York - Poquoson Sheriff's Office,YORK CO,TRAFFIC VIOLATION,Driver,WHITE,NON-HISPANIC,21,MALE,YES,WARNING,,46.2-804,,NO,NO,,NO,NO,
7/1/2021 0:00,York - Poquoson Sheriff's Office,YORK CO,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,18,MALE,YES,WARNING,,46.2-878,,NO,NO,,NO,NO,
7/1/2021 0:00,York - Poquoson Sheriff's Office,YORK CO,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,19,FEMALE,YES,WARNING,,46.2-804,,NO,NO,,NO,NO,
7/1/2021 0:00,York - Poquoson Sheriff's Office,YORK CO,TRAFFIC VIOLATION,Driver,WHITE,NON-HISPANIC,27,FEMALE,YES,WARNING,,46.2-804,,NO,NO,,NO,NO,
7/1/2021 0:00,York - Poquoson Sheriff's Office,YORK CO,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,31,FEMALE,YES,CITATION/SUMMONS,,46.2-875,,NO,NO,,NO,NO,
7/1/2021 0:00,York - Poquoson Sheriff's Office,YORK CO,TRAFFIC VIOLATION,Driver,WHITE,NON-HISPANIC,33,MALE,YES,CITATION/SUMMONS,,46.2-875,,NO,NO,,NO,NO,
7/1/2021 0:00,York - Poquoson Sheriff's Office,YORK CO,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,52,FEMALE,YES,CITATION/SUMMONS,,46.2-878,,NO,NO,,NO,NO,
7/1/2021 0:00,York - Poquoson Sheriff's Office,YORK CO,TRAFFIC VIOLATION,Driver,WHITE,NON-HISPANIC,16,MALE,YES,WARNING,,46.2-878,,NO,NO,,NO,NO,
7/1/2021 0:00,York - Poquoson Sheriff's Office,YORK CO,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,46,MALE,YES,CITATION/SUMMONS,,46.2-878,,NO,NO,,NO,NO,
7/1/2021 0:00,York - Poquoson Sheriff's Office,YORK CO,TRAFFIC VIOLATION,Driver,WHITE,NON-HISPANIC,55,FEMALE,YES,WARNING,,46.2-888,,NO,NO,,NO,NO,
7/1/2021 0:00,York - Poquoson Sheriff's Office,YORK CO,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,36,FEMALE,YES,WARNING,,46.2-646,,NO,NO,,NO,NO,
7/1/2021 0:00,York - Poquoson Sheriff's Office,YORK CO,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,29,MALE,YES,CITATION/SUMMONS,,46.2-868,,NO,NO,,NO,NO,
7/1/2021 0:00,York - Poquoson Sheriff's Office,YORK CO,TRAFFIC VIOLATION,Driver,WHITE,HISPANIC,38,FEMALE,YES,WARNING,,46.2-830,,NO,NO,,NO,NO,
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,UNKNOWN,39,MALE,YES,WARNING,,25-167,,NO,NO,,NO,NO,Other Virginia jurisdiction resident
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,58,MALE,YES,CITATION/SUMMONS,,46.2-646,,NO,NO,,NO,NO,Resident of town/city/county of stop
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,WHITE,NON-HISPANIC,33,MALE,YES,CITATION/SUMMONS,,46.2-1158,,NO,NO,,NO,NO,Resident of town/city/county of stop
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,WHITE,NON-HISPANIC,36,FEMALE,YES,CITATION/SUMMONS,,46.2-1158,,NO,NO,,NO,NO,Resident of town/city/county of stop
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,65,MALE,YES,CITATION/SUMMONS,,46.2-1158,,NO,NO,,NO,NO,Resident of town/city/county of stop
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,23,MALE,YES,WARNING,,25-224,,NO,NO,,NO,NO,Resident of town/city/county of stop
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,WHITE,HISPANIC,20,MALE,NO,CITATION/SUMMONS,,46.2-646,,NO,NO,,NO,NO,Resident of town/city/county of stop
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,WHITE,HISPANIC,20,MALE,YES,CITATION/SUMMONS,,46.2-1158,,NO,NO,,NO,NO,Resident of town/city/county of stop
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,24,MALE,YES,CITATION/SUMMONS,,25-224,,NO,NO,,NO,NO,Other Virginia jurisdiction resident
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,23,MALE,YES,CITATION/SUMMONS,,25-224,,NO,NO,,NO,NO,Resident of town/city/county of stop
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,25,MALE,YES,WARNING,,25-224,,NO,NO,,NO,NO,Resident of town/city/county of stop
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,UNKNOWN,23,MALE,YES,WARNING,,46.2-646,,NO,NO,,NO,NO,Resident of town/city/county of stop
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,UNKNOWN,44,MALE,YES,WARNING,,46.2-646,,NO,NO,,NO,NO,Resident of town/city/county of stop
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,26,MALE,YES,CITATION/SUMMONS,,46.2-646,,NO,NO,,NO,NO,Resident of town/city/county of stop
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,WHITE,NON-HISPANIC,50,MALE,YES,CITATION/SUMMONS,,46.2-1158,,NO,NO,,NO,NO,Out of State resident
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,35,MALE,YES,WARNING,,25-191,,NO,NO,,NO,NO,Unknown
7/1/2021 0:00,Norfolk Police Department,NORFOLK,TRAFFIC VIOLATION,Driver,BLACK OR AFRICAN AMERICAN,NON-HISPANIC,40,FEMALE,YES,CITATION/SUMMONS,,46.2-1158,,NO,NO,,NO,NO,Resident of town/city/county of stop
