"","GEOID","NAME","variable","estimate","moe"
"1","51550","Chesapeake city, Virginia","S1903_C01_001",84849,815
"2","51550","Chesapeake city, Virginia","S1903_C01_002",54241,742
"3","51550","Chesapeake city, Virginia","S1903_C01_003",24872,668
"4","51550","Chesapeake city, Virginia","S1903_C01_004",211,105
"5","51550","Chesapeake city, Virginia","S1903_C01_005",2272,247
"6","51550","Chesapeake city, Virginia","S1903_C01_006",78,56
"7","51550","Chesapeake city, Virginia","S1903_C01_007",1149,276
"8","51550","Chesapeake city, Virginia","S1903_C01_008",2026,459
"9","51550","Chesapeake city, Virginia","S1903_C01_009",3976,286
"10","51550","Chesapeake city, Virginia","S1903_C01_010",51943,708
"11","51550","Chesapeake city, Virginia","S1903_C01_011",1996,374
"12","51550","Chesapeake city, Virginia","S1903_C01_012",29806,689
"13","51550","Chesapeake city, Virginia","S1903_C01_013",34635,683
"14","51550","Chesapeake city, Virginia","S1903_C01_014",18412,498
"15","51550","Chesapeake city, Virginia","S1903_C01_015",63243,1187
"16","51550","Chesapeake city, Virginia","S1903_C01_016",28389,729
"17","51550","Chesapeake city, Virginia","S1903_C01_017",34854,1056
"18","51550","Chesapeake city, Virginia","S1903_C01_018",46736,1150
"19","51550","Chesapeake city, Virginia","S1903_C01_019",19642,761
"20","51550","Chesapeake city, Virginia","S1903_C01_020",12425,693
"21","51550","Chesapeake city, Virginia","S1903_C01_021",6828,562
"22","51550","Chesapeake city, Virginia","S1903_C01_022",4082,519
"23","51550","Chesapeake city, Virginia","S1903_C01_023",1919,370
"24","51550","Chesapeake city, Virginia","S1903_C01_024",26600,1043
"25","51550","Chesapeake city, Virginia","S1903_C01_025",16547,988
"26","51550","Chesapeake city, Virginia","S1903_C01_026",12460,730
"27","51550","Chesapeake city, Virginia","S1903_C01_027",5319,498
"28","51550","Chesapeake city, Virginia","S1903_C01_028",1579,285
"29","51550","Chesapeake city, Virginia","S1903_C01_029",738,187
"30","51550","Chesapeake city, Virginia","S1903_C01_030",6641,456
"31","51550","Chesapeake city, Virginia","S1903_C01_031",22139,1106
"32","51550","Chesapeake city, Virginia","S1903_C01_032",27254,1089
"33","51550","Chesapeake city, Virginia","S1903_C01_033",7209,511
"34","51550","Chesapeake city, Virginia","S1903_C01_034",21606,1110
"35","51550","Chesapeake city, Virginia","S1903_C01_035",12314,760
"36","51550","Chesapeake city, Virginia","S1903_C01_036",10803,728
"37","51550","Chesapeake city, Virginia","S1903_C01_037",1511,273
"38","51550","Chesapeake city, Virginia","S1903_C01_038",9292,700
"39","51550","Chesapeake city, Virginia","S1903_C01_039",7344,601
"40","51550","Chesapeake city, Virginia","S1903_C01_040",1948,332
"41","51550","Chesapeake city, Virginia","S1903_C02_001",84849,815
"42","51550","Chesapeake city, Virginia","S1903_C02_002",63.9,0.7
"43","51550","Chesapeake city, Virginia","S1903_C02_003",29.3,0.7
"44","51550","Chesapeake city, Virginia","S1903_C02_004",0.2,0.1
"45","51550","Chesapeake city, Virginia","S1903_C02_005",2.7,0.3
"46","51550","Chesapeake city, Virginia","S1903_C02_006",0.1,0.1
"47","51550","Chesapeake city, Virginia","S1903_C02_007",1.4,0.3
"48","51550","Chesapeake city, Virginia","S1903_C02_008",2.4,0.5
"49","51550","Chesapeake city, Virginia","S1903_C02_009",4.7,0.3
"50","51550","Chesapeake city, Virginia","S1903_C02_010",61.2,0.7
"51","51550","Chesapeake city, Virginia","S1903_C02_011",2.4,0.4
"52","51550","Chesapeake city, Virginia","S1903_C02_012",35.1,0.7
"53","51550","Chesapeake city, Virginia","S1903_C02_013",40.8,0.8
"54","51550","Chesapeake city, Virginia","S1903_C02_014",21.7,0.6
"55","51550","Chesapeake city, Virginia","S1903_C02_015",63243,1187
"56","51550","Chesapeake city, Virginia","S1903_C02_016",44.9,1.1
"57","51550","Chesapeake city, Virginia","S1903_C02_017",55.1,1.1
"58","51550","Chesapeake city, Virginia","S1903_C02_018",73.9,1.2
"59","51550","Chesapeake city, Virginia","S1903_C02_019",31.1,1.1
"60","51550","Chesapeake city, Virginia","S1903_C02_020",19.6,1
"61","51550","Chesapeake city, Virginia","S1903_C02_021",10.8,0.9
"62","51550","Chesapeake city, Virginia","S1903_C02_022",6.5,0.8
"63","51550","Chesapeake city, Virginia","S1903_C02_023",3,0.6
"64","51550","Chesapeake city, Virginia","S1903_C02_024",42.1,1.3
"65","51550","Chesapeake city, Virginia","S1903_C02_025",26.2,1.4
"66","51550","Chesapeake city, Virginia","S1903_C02_026",19.7,1.2
"67","51550","Chesapeake city, Virginia","S1903_C02_027",8.4,0.8
"68","51550","Chesapeake city, Virginia","S1903_C02_028",2.5,0.4
"69","51550","Chesapeake city, Virginia","S1903_C02_029",1.2,0.3
"70","51550","Chesapeake city, Virginia","S1903_C02_030",10.5,0.7
"71","51550","Chesapeake city, Virginia","S1903_C02_031",35,1.5
"72","51550","Chesapeake city, Virginia","S1903_C02_032",43.1,1.6
"73","51550","Chesapeake city, Virginia","S1903_C02_033",11.4,0.8
"74","51550","Chesapeake city, Virginia","S1903_C02_034",21606,1110
"75","51550","Chesapeake city, Virginia","S1903_C02_035",57,2.2
"76","51550","Chesapeake city, Virginia","S1903_C02_036",50,2.4
"77","51550","Chesapeake city, Virginia","S1903_C02_037",7,1.2
"78","51550","Chesapeake city, Virginia","S1903_C02_038",43,2.2
"79","51550","Chesapeake city, Virginia","S1903_C02_039",34,2.2
"80","51550","Chesapeake city, Virginia","S1903_C02_040",9,1.4
"81","51550","Chesapeake city, Virginia","S1903_C03_001",78640,2645
"82","51550","Chesapeake city, Virginia","S1903_C03_002",86768,2299
"83","51550","Chesapeake city, Virginia","S1903_C03_003",60955,3940
"84","51550","Chesapeake city, Virginia","S1903_C03_004",47446,38448
"85","51550","Chesapeake city, Virginia","S1903_C03_005",89118,13276
"86","51550","Chesapeake city, Virginia","S1903_C03_006",NA,NA
"87","51550","Chesapeake city, Virginia","S1903_C03_007",53487,11124
"88","51550","Chesapeake city, Virginia","S1903_C03_008",81736,17382
"89","51550","Chesapeake city, Virginia","S1903_C03_009",63188,12672
"90","51550","Chesapeake city, Virginia","S1903_C03_010",87045,2385
"91","51550","Chesapeake city, Virginia","S1903_C03_011",52723,9346
"92","51550","Chesapeake city, Virginia","S1903_C03_012",75910,4635
"93","51550","Chesapeake city, Virginia","S1903_C03_013",96795,3332
"94","51550","Chesapeake city, Virginia","S1903_C03_014",60074,3249
"95","51550","Chesapeake city, Virginia","S1903_C03_015",90552,2729
"96","51550","Chesapeake city, Virginia","S1903_C03_016",85072,4302
"97","51550","Chesapeake city, Virginia","S1903_C03_017",94414,3538
"98","51550","Chesapeake city, Virginia","S1903_C03_018",106568,2480
"99","51550","Chesapeake city, Virginia","S1903_C03_019",109427,2868
"100","51550","Chesapeake city, Virginia","S1903_C03_020",46884,2071
"101","51550","Chesapeake city, Virginia","S1903_C03_021",39258,6054
"102","51550","Chesapeake city, Virginia","S1903_C03_022",57100,7816
"103","51550","Chesapeake city, Virginia","S1903_C03_023",50568,9744
"104","51550","Chesapeake city, Virginia","S1903_C03_024",78554,3617
"105","51550","Chesapeake city, Virginia","S1903_C03_025",95474,5837
"106","51550","Chesapeake city, Virginia","S1903_C03_026",109085,4923
"107","51550","Chesapeake city, Virginia","S1903_C03_027",98938,5640
"108","51550","Chesapeake city, Virginia","S1903_C03_028",107880,22478
"109","51550","Chesapeake city, Virginia","S1903_C03_029",102311,31341
"110","51550","Chesapeake city, Virginia","S1903_C03_030",52349,4200
"111","51550","Chesapeake city, Virginia","S1903_C03_031",62693,3485
"112","51550","Chesapeake city, Virginia","S1903_C03_032",109790,2802
"113","51550","Chesapeake city, Virginia","S1903_C03_033",144899,10029
"114","51550","Chesapeake city, Virginia","S1903_C03_034",46054,1602
"115","51550","Chesapeake city, Virginia","S1903_C03_035",41523,3431
"116","51550","Chesapeake city, Virginia","S1903_C03_036",35625,2706
"117","51550","Chesapeake city, Virginia","S1903_C03_037",69159,11165
"118","51550","Chesapeake city, Virginia","S1903_C03_038",53052,2560
"119","51550","Chesapeake city, Virginia","S1903_C03_039",49696,4559
"120","51550","Chesapeake city, Virginia","S1903_C03_040",92321,12991
"121","51620","Franklin city, Virginia","S1903_C01_001",3522,148
"122","51620","Franklin city, Virginia","S1903_C01_002",1461,136
"123","51620","Franklin city, Virginia","S1903_C01_003",1789,203
"124","51620","Franklin city, Virginia","S1903_C01_004",0,17
"125","51620","Franklin city, Virginia","S1903_C01_005",48,54
"126","51620","Franklin city, Virginia","S1903_C01_006",0,17
"127","51620","Franklin city, Virginia","S1903_C01_007",61,57
"128","51620","Franklin city, Virginia","S1903_C01_008",163,129
"129","51620","Franklin city, Virginia","S1903_C01_009",61,57
"130","51620","Franklin city, Virginia","S1903_C01_010",1461,136
"131","51620","Franklin city, Virginia","S1903_C01_011",64,66
"132","51620","Franklin city, Virginia","S1903_C01_012",1153,189
"133","51620","Franklin city, Virginia","S1903_C01_013",1200,166
"134","51620","Franklin city, Virginia","S1903_C01_014",1105,97
"135","51620","Franklin city, Virginia","S1903_C01_015",2147,216
"136","51620","Franklin city, Virginia","S1903_C01_016",895,208
"137","51620","Franklin city, Virginia","S1903_C01_017",1252,201
"138","51620","Franklin city, Virginia","S1903_C01_018",1226,200
"139","51620","Franklin city, Virginia","S1903_C01_019",382,172
"140","51620","Franklin city, Virginia","S1903_C01_020",808,207
"141","51620","Franklin city, Virginia","S1903_C01_021",498,200
"142","51620","Franklin city, Virginia","S1903_C01_022",113,92
"143","51620","Franklin city, Virginia","S1903_C01_023",15,19
"144","51620","Franklin city, Virginia","S1903_C01_024",1095,165
"145","51620","Franklin city, Virginia","S1903_C01_025",403,169
"146","51620","Franklin city, Virginia","S1903_C01_026",447,208
"147","51620","Franklin city, Virginia","S1903_C01_027",146,101
"148","51620","Franklin city, Virginia","S1903_C01_028",21,31
"149","51620","Franklin city, Virginia","S1903_C01_029",35,41
"150","51620","Franklin city, Virginia","S1903_C01_030",327,95
"151","51620","Franklin city, Virginia","S1903_C01_031",994,255
"152","51620","Franklin city, Virginia","S1903_C01_032",647,170
"153","51620","Franklin city, Virginia","S1903_C01_033",179,83
"154","51620","Franklin city, Virginia","S1903_C01_034",1375,243
"155","51620","Franklin city, Virginia","S1903_C01_035",868,182
"156","51620","Franklin city, Virginia","S1903_C01_036",789,173
"157","51620","Franklin city, Virginia","S1903_C01_037",79,92
"158","51620","Franklin city, Virginia","S1903_C01_038",507,181
"159","51620","Franklin city, Virginia","S1903_C01_039",479,176
"160","51620","Franklin city, Virginia","S1903_C01_040",28,40
"161","51620","Franklin city, Virginia","S1903_C02_001",3522,148
"162","51620","Franklin city, Virginia","S1903_C02_002",41.5,4
"163","51620","Franklin city, Virginia","S1903_C02_003",50.8,4.8
"164","51620","Franklin city, Virginia","S1903_C02_004",0,1
"165","51620","Franklin city, Virginia","S1903_C02_005",1.4,1.5
"166","51620","Franklin city, Virginia","S1903_C02_006",0,1
"167","51620","Franklin city, Virginia","S1903_C02_007",1.7,1.6
"168","51620","Franklin city, Virginia","S1903_C02_008",4.6,3.7
"169","51620","Franklin city, Virginia","S1903_C02_009",1.7,1.6
"170","51620","Franklin city, Virginia","S1903_C02_010",41.5,4
"171","51620","Franklin city, Virginia","S1903_C02_011",1.8,1.9
"172","51620","Franklin city, Virginia","S1903_C02_012",32.7,5.1
"173","51620","Franklin city, Virginia","S1903_C02_013",34.1,4.6
"174","51620","Franklin city, Virginia","S1903_C02_014",31.4,2.5
"175","51620","Franklin city, Virginia","S1903_C02_015",2147,216
"176","51620","Franklin city, Virginia","S1903_C02_016",41.7,8.1
"177","51620","Franklin city, Virginia","S1903_C02_017",58.3,8.1
"178","51620","Franklin city, Virginia","S1903_C02_018",57.1,8.5
"179","51620","Franklin city, Virginia","S1903_C02_019",17.8,7.5
"180","51620","Franklin city, Virginia","S1903_C02_020",37.6,8.6
"181","51620","Franklin city, Virginia","S1903_C02_021",23.2,9
"182","51620","Franklin city, Virginia","S1903_C02_022",5.3,4.1
"183","51620","Franklin city, Virginia","S1903_C02_023",0.7,0.9
"184","51620","Franklin city, Virginia","S1903_C02_024",51,6.4
"185","51620","Franklin city, Virginia","S1903_C02_025",18.8,7.2
"186","51620","Franklin city, Virginia","S1903_C02_026",20.8,9.6
"187","51620","Franklin city, Virginia","S1903_C02_027",6.8,4.6
"188","51620","Franklin city, Virginia","S1903_C02_028",1,1.5
"189","51620","Franklin city, Virginia","S1903_C02_029",1.6,1.9
"190","51620","Franklin city, Virginia","S1903_C02_030",15.2,4.4
"191","51620","Franklin city, Virginia","S1903_C02_031",46.3,9.6
"192","51620","Franklin city, Virginia","S1903_C02_032",30.1,7.9
"193","51620","Franklin city, Virginia","S1903_C02_033",8.3,3.9
"194","51620","Franklin city, Virginia","S1903_C02_034",1375,243
"195","51620","Franklin city, Virginia","S1903_C02_035",63.1,10
"196","51620","Franklin city, Virginia","S1903_C02_036",57.4,10.4
"197","51620","Franklin city, Virginia","S1903_C02_037",5.7,6.5
"198","51620","Franklin city, Virginia","S1903_C02_038",36.9,10
"199","51620","Franklin city, Virginia","S1903_C02_039",34.8,10
"200","51620","Franklin city, Virginia","S1903_C02_040",2,2.9
"201","51620","Franklin city, Virginia","S1903_C03_001",40417,8465
"202","51620","Franklin city, Virginia","S1903_C03_002",56603,16135
"203","51620","Franklin city, Virginia","S1903_C03_003",29263,7335
"204","51620","Franklin city, Virginia","S1903_C03_004",NA,NA
"205","51620","Franklin city, Virginia","S1903_C03_005",71481,50045
"206","51620","Franklin city, Virginia","S1903_C03_006",NA,NA
"207","51620","Franklin city, Virginia","S1903_C03_007",NA,NA
"208","51620","Franklin city, Virginia","S1903_C03_008",NA,NA
"209","51620","Franklin city, Virginia","S1903_C03_009",NA,NA
"210","51620","Franklin city, Virginia","S1903_C03_010",56603,16135
"211","51620","Franklin city, Virginia","S1903_C03_011",NA,NA
"212","51620","Franklin city, Virginia","S1903_C03_012",45744,12663
"213","51620","Franklin city, Virginia","S1903_C03_013",52200,14470
"214","51620","Franklin city, Virginia","S1903_C03_014",26827,13765
"215","51620","Franklin city, Virginia","S1903_C03_015",47284,14813
"216","51620","Franklin city, Virginia","S1903_C03_016",45238,14946
"217","51620","Franklin city, Virginia","S1903_C03_017",62598,8110
"218","51620","Franklin city, Virginia","S1903_C03_018",72130,11617
"219","51620","Franklin city, Virginia","S1903_C03_019",71955,43973
"220","51620","Franklin city, Virginia","S1903_C03_020",33778,7832
"221","51620","Franklin city, Virginia","S1903_C03_021",33944,8274
"222","51620","Franklin city, Virginia","S1903_C03_022",26625,15928
"223","51620","Franklin city, Virginia","S1903_C03_023",NA,NA
"224","51620","Franklin city, Virginia","S1903_C03_024",40739,10062
"225","51620","Franklin city, Virginia","S1903_C03_025",63350,11367
"226","51620","Franklin city, Virginia","S1903_C03_026",NA,NA
"227","51620","Franklin city, Virginia","S1903_C03_027",NA,NA
"228","51620","Franklin city, Virginia","S1903_C03_028",NA,NA
"229","51620","Franklin city, Virginia","S1903_C03_029",NA,NA
"230","51620","Franklin city, Virginia","S1903_C03_030",32150,7800
"231","51620","Franklin city, Virginia","S1903_C03_031",36238,3515
"232","51620","Franklin city, Virginia","S1903_C03_032",69455,24648
"233","51620","Franklin city, Virginia","S1903_C03_033",132404,25173
"234","51620","Franklin city, Virginia","S1903_C03_034",21787,6432
"235","51620","Franklin city, Virginia","S1903_C03_035",20731,1963
"236","51620","Franklin city, Virginia","S1903_C03_036",20356,2488
