"","GEOID","NAME","variable","estimate","moe"
"1","51","Virginia","S1903_C01_001",3062783,7957
"2","51","Virginia","S1903_C01_002",72.9,0.1
"3","51","Virginia","S1903_C01_003",18.5,0.1
"4","51","Virginia","S1903_C01_004",0.3,0.1
"5","51","Virginia","S1903_C01_005",4.8,0.1
"6","51","Virginia","S1903_C01_006",0.1,0.1
"7","51","Virginia","S1903_C01_007",1.5,0.1
"8","51","Virginia","S1903_C01_008",1.9,0.1
"9","51","Virginia","S1903_C01_009",5.9,0.1
"10","51","Virginia","S1903_C01_010",69,0.1
"11","51","Virginia","S1903_C01_011",3.6,0.1
"12","51","Virginia","S1903_C01_012",34.2,0.1
"13","51","Virginia","S1903_C01_013",40.1,0.1
"14","51","Virginia","S1903_C01_014",22.1,0.1
"15","51","Virginia","S1903_C01_015",2054416,7822
"16","51","Virginia","S1903_C01_016",43.9,0.2
"17","51","Virginia","S1903_C01_017",56.1,0.2
"18","51","Virginia","S1903_C01_018",75.3,0.2
"19","51","Virginia","S1903_C01_019",18.3,0.2
"20","51","Virginia","S1903_C01_020",6.4,0.1
"21","51","Virginia","S1903_C01_021",1008367,5297
"22","51","Virginia","S1903_C01_022",54.8,0.3
"23","51","Virginia","S1903_C01_023",46.3,0.3
"24","51","Virginia","S1903_C01_024",8.6,0.2
"25","51","Virginia","S1903_C01_025",45.2,0.3
"26","51","Virginia","S1903_C01_026",34.6,0.3
"27","51","Virginia","S1903_C01_027",10.6,0.2
"28","51","Virginia","S1903_C01_028",29.4,NA
"29","51","Virginia","S1903_C01_029",29.4,NA
"30","51","Virginia","S1903_C01_030",27.6,NA
"31","51","Virginia","S1903_C02_001",65015,270
"32","51","Virginia","S1903_C02_002",70032,324
"33","51","Virginia","S1903_C02_003",44562,563
"34","51","Virginia","S1903_C02_004",54031,4135
"35","51","Virginia","S1903_C02_005",94896,1924
"36","51","Virginia","S1903_C02_006",89125,19280
"37","51","Virginia","S1903_C02_007",51932,1435
"38","51","Virginia","S1903_C02_008",66235,2086
"39","51","Virginia","S1903_C02_009",60904,1036
"40","51","Virginia","S1903_C02_010",70415,309
"41","51","Virginia","S1903_C02_011",30348,728
"42","51","Virginia","S1903_C02_012",70275,454
"43","51","Virginia","S1903_C02_013",79146,573
"44","51","Virginia","S1903_C02_014",45104,398
"45","51","Virginia","S1903_C02_015",78390,435
"46","51","Virginia","S1903_C02_016",77142,657
"47","51","Virginia","S1903_C02_017",79176,471
"48","51","Virginia","S1903_C02_018",93384,460
"49","51","Virginia","S1903_C02_019",36942,438
"50","51","Virginia","S1903_C02_020",51356,924
"51","51","Virginia","S1903_C02_021",40158,300
"52","51","Virginia","S1903_C02_022",34727,394
"53","51","Virginia","S1903_C02_023",31010,295
"54","51","Virginia","S1903_C02_024",63866,1395
"55","51","Virginia","S1903_C02_025",46870,493
"56","51","Virginia","S1903_C02_026",41413,428
"57","51","Virginia","S1903_C02_027",70835,1404
"58","51","Virginia","S1903_C02_028",NA,NA
"59","51","Virginia","S1903_C02_029",NA,NA
"60","51","Virginia","S1903_C02_030",NA,NA
