"","GEOID","NAME","variable","estimate","moe"
"1","51550","Chesapeake city, Virginia","S1701_C01_001",225837,764
"2","51550","Chesapeake city, Virginia","S1701_C01_002",56458,232
"3","51550","Chesapeake city, Virginia","S1701_C01_003",14562,105
"4","51550","Chesapeake city, Virginia","S1701_C01_004",41896,204
"5","51550","Chesapeake city, Virginia","S1701_C01_005",56190,293
"6","51550","Chesapeake city, Virginia","S1701_C01_006",142411,711
"7","51550","Chesapeake city, Virginia","S1701_C01_007",51045,468
"8","51550","Chesapeake city, Virginia","S1701_C01_008",91366,450
"9","51550","Chesapeake city, Virginia","S1701_C01_009",39393,700
"10","51550","Chesapeake city, Virginia","S1701_C01_010",26968,186
"11","51550","Chesapeake city, Virginia","S1701_C01_011",107498,713
"12","51550","Chesapeake city, Virginia","S1701_C01_012",118339,201
"13","51550","Chesapeake city, Virginia","S1701_C01_013",142229,815
"14","51550","Chesapeake city, Virginia","S1701_C01_014",65068,748
"15","51550","Chesapeake city, Virginia","S1701_C01_015",396,166
"16","51550","Chesapeake city, Virginia","S1701_C01_016",7484,430
"17","51550","Chesapeake city, Virginia","S1701_C01_017",257,118
"18","51550","Chesapeake city, Virginia","S1701_C01_018",3077,803
"19","51550","Chesapeake city, Virginia","S1701_C01_019",7326,820
"20","51550","Chesapeake city, Virginia","S1701_C01_020",12158,83
"21","51550","Chesapeake city, Virginia","S1701_C01_021",134518,412
"22","51550","Chesapeake city, Virginia","S1701_C01_022",149187,517
"23","51550","Chesapeake city, Virginia","S1701_C01_023",11814,751
"24","51550","Chesapeake city, Virginia","S1701_C01_024",37534,1370
"25","51550","Chesapeake city, Virginia","S1701_C01_025",53049,1556
"26","51550","Chesapeake city, Virginia","S1701_C01_026",46790,1457
"27","51550","Chesapeake city, Virginia","S1701_C01_027",115211,1410
"28","51550","Chesapeake city, Virginia","S1701_C01_028",107966,1470
"29","51550","Chesapeake city, Virginia","S1701_C01_029",54069,1025
"30","51550","Chesapeake city, Virginia","S1701_C01_030",53897,1015
"31","51550","Chesapeake city, Virginia","S1701_C01_031",7245,708
"32","51550","Chesapeake city, Virginia","S1701_C01_032",3629,438
"33","51550","Chesapeake city, Virginia","S1701_C01_033",3616,509
"34","51550","Chesapeake city, Virginia","S1701_C01_034",176557,811
"35","51550","Chesapeake city, Virginia","S1701_C01_035",85002,1290
"36","51550","Chesapeake city, Virginia","S1701_C01_036",36991,1339
"37","51550","Chesapeake city, Virginia","S1701_C01_037",54564,1290
"38","51550","Chesapeake city, Virginia","S1701_C01_038",9800,1310
"39","51550","Chesapeake city, Virginia","S1701_C01_039",29053,2238
"40","51550","Chesapeake city, Virginia","S1701_C01_040",35906,2430
"41","51550","Chesapeake city, Virginia","S1701_C01_041",46603,2525
"42","51550","Chesapeake city, Virginia","S1701_C01_042",51096,2540
"43","51550","Chesapeake city, Virginia","S1701_C01_043",88403,2517
"44","51550","Chesapeake city, Virginia","S1701_C01_044",121864,2632
"45","51550","Chesapeake city, Virginia","S1701_C01_045",152456,2202
"46","51550","Chesapeake city, Virginia","S1701_C01_046",29228,1474
"47","51550","Chesapeake city, Virginia","S1701_C01_047",13333,955
"48","51550","Chesapeake city, Virginia","S1701_C01_048",15895,935
"49","51550","Chesapeake city, Virginia","S1701_C01_049",68,63
"50","51550","Chesapeake city, Virginia","S1701_C01_050",195,148
"51","51550","Chesapeake city, Virginia","S1701_C01_051",2854,418
"52","51550","Chesapeake city, Virginia","S1701_C01_052",5802,764
"53","51550","Chesapeake city, Virginia","S1701_C01_053",3447,451
"54","51550","Chesapeake city, Virginia","S1701_C01_054",5046,611
"55","51550","Chesapeake city, Virginia","S1701_C01_055",4604,401
"56","51550","Chesapeake city, Virginia","S1701_C01_056",4018,426
"57","51550","Chesapeake city, Virginia","S1701_C01_057",3194,345
"58","51550","Chesapeake city, Virginia","S1701_C01_058",6924,480
"59","51550","Chesapeake city, Virginia","S1701_C01_059",15229,1088
"60","51550","Chesapeake city, Virginia","S1701_C01_060",5120,561
"61","51550","Chesapeake city, Virginia","S1701_C01_061",8879,723
"62","51550","Chesapeake city, Virginia","S1701_C02_001",21418,1950
"63","51550","Chesapeake city, Virginia","S1701_C02_002",8174,1069
"64","51550","Chesapeake city, Virginia","S1701_C02_003",2218,474
"65","51550","Chesapeake city, Virginia","S1701_C02_004",5956,837
"66","51550","Chesapeake city, Virginia","S1701_C02_005",7946,1073
"67","51550","Chesapeake city, Virginia","S1701_C02_006",11542,1096
"68","51550","Chesapeake city, Virginia","S1701_C02_007",6142,741
"69","51550","Chesapeake city, Virginia","S1701_C02_008",5400,671
"70","51550","Chesapeake city, Virginia","S1701_C02_009",2443,397
"71","51550","Chesapeake city, Virginia","S1701_C02_010",1702,349
"72","51550","Chesapeake city, Virginia","S1701_C02_011",8493,993
"73","51550","Chesapeake city, Virginia","S1701_C02_012",12925,1167
"74","51550","Chesapeake city, Virginia","S1701_C02_013",9702,1307
"75","51550","Chesapeake city, Virginia","S1701_C02_014",10279,1398
"76","51550","Chesapeake city, Virginia","S1701_C02_015",30,35
"77","51550","Chesapeake city, Virginia","S1701_C02_016",176,110
"78","51550","Chesapeake city, Virginia","S1701_C02_017",30,48
"79","51550","Chesapeake city, Virginia","S1701_C02_018",575,415
"80","51550","Chesapeake city, Virginia","S1701_C02_019",626,271
"81","51550","Chesapeake city, Virginia","S1701_C02_020",2000,615
