"","GEOID","NAME","variable","estimate","moe"
"1","51","Virginia","S1701_C01_001",8116130,1617
"2","51","Virginia","S1701_C01_002",1838741,1884
"3","51","Virginia","S1701_C01_003",502511,971
"4","51","Virginia","S1701_C01_004",1336230,1701
"5","51","Virginia","S1701_C01_005",1830792,2081
"6","51","Virginia","S1701_C01_006",5116003,1294
"7","51","Virginia","S1701_C01_007",1826231,2008
"8","51","Virginia","S1701_C01_008",3289772,2042
"9","51","Virginia","S1701_C01_009",1655207,3804
"10","51","Virginia","S1701_C01_010",1161386,1016
"11","51","Virginia","S1701_C01_011",3956535,1952
"12","51","Virginia","S1701_C01_012",4159595,1955
"13","51","Virginia","S1701_C01_013",5569513,6868
"14","51","Virginia","S1701_C01_014",1531025,4361
"15","51","Virginia","S1701_C01_015",21503,1289
"16","51","Virginia","S1701_C01_016",511014,2747
"17","51","Virginia","S1701_C01_017",5036,463
"18","51","Virginia","S1701_C01_018",195566,6097
"19","51","Virginia","S1701_C01_019",282473,5276
"20","51","Virginia","S1701_C01_020",729278,1429
"21","51","Virginia","S1701_C01_021",5100551,2429
"22","51","Virginia","S1701_C01_022",5584519,2151
"23","51","Virginia","S1701_C01_023",598937,7292
"24","51","Virginia","S1701_C01_024",1340690,10156
"25","51","Virginia","S1701_C01_025",1520127,8517
"26","51","Virginia","S1701_C01_026",2124765,13483
"27","51","Virginia","S1701_C01_027",4287521,8048
"28","51","Virginia","S1701_C01_028",4055916,8597
"29","51","Virginia","S1701_C01_029",2099749,5305
"30","51","Virginia","S1701_C01_030",1956167,5738
"31","51","Virginia","S1701_C01_031",231605,3836
"32","51","Virginia","S1701_C01_032",122069,2778
"33","51","Virginia","S1701_C01_033",109536,2686
"34","51","Virginia","S1701_C01_034",6483719,2036
"35","51","Virginia","S1701_C01_035",3002818,8217
"36","51","Virginia","S1701_C01_036",1488766,7372
"37","51","Virginia","S1701_C01_037",1992135,9055
"38","51","Virginia","S1701_C01_038",429123,8548
"39","51","Virginia","S1701_C01_039",1201913,15271
"40","51","Virginia","S1701_C01_040",1494189,16919
"41","51","Virginia","S1701_C01_041",1930574,20379
"42","51","Virginia","S1701_C01_042",2111589,20723
"43","51","Virginia","S1701_C01_043",3320574,22881
"44","51","Virginia","S1701_C01_044",4399791,21927
"45","51","Virginia","S1701_C01_045",5288101,20399
"46","51","Virginia","S1701_C01_046",1520530,9998
"47","51","Virginia","S1701_C01_047",733707,6740
"48","51","Virginia","S1701_C01_048",786823,5553
"49","51","Virginia","S1701_C01_049",2294,348
"50","51","Virginia","S1701_C01_050",5078,577
"51","51","Virginia","S1701_C01_051",180183,2928
"52","51","Virginia","S1701_C01_052",330161,4414
"53","51","Virginia","S1701_C01_053",189160,3801
"54","51","Virginia","S1701_C01_054",223995,3455
"55","51","Virginia","S1701_C01_055",242162,3281
"56","51","Virginia","S1701_C01_056",179840,2534
"57","51","Virginia","S1701_C01_057",167657,2880
"58","51","Virginia","S1701_C01_058",7118,57
"59","51","Virginia","S1701_C01_059",717597,7060
"60","51","Virginia","S1701_C01_060",326568,4894
"61","51","Virginia","S1701_C01_061",476365,4477
"62","51","Virginia","S1701_C02_001",906838,12605
"63","51","Virginia","S1701_C02_002",273962,6554
"64","51","Virginia","S1701_C02_003",81553,2763
"65","51","Virginia","S1701_C02_004",192409,4671
"66","51","Virginia","S1701_C02_005",266694,6499
"67","51","Virginia","S1701_C02_006",547038,7126
"68","51","Virginia","S1701_C02_007",274327,4537
"69","51","Virginia","S1701_C02_008",272711,4262
"70","51","Virginia","S1701_C02_009",125552,2234
"71","51","Virginia","S1701_C02_010",85838,1744
"72","51","Virginia","S1701_C02_011",396646,5692
"73","51","Virginia","S1701_C02_012",510192,8129
"74","51","Virginia","S1701_C02_013",495874,8987
"75","51","Virginia","S1701_C02_014",297513,6376
"76","51","Virginia","S1701_C02_015",2799,647
"77","51","Virginia","S1701_C02_016",38579,2521
"78","51","Virginia","S1701_C02_017",266,103
"79","51","Virginia","S1701_C02_018",34387,3424
"80","51","Virginia","S1701_C02_019",37420,2295
"81","51","Virginia","S1701_C02_020",109092,4981
"82","51","Virginia","S1701_C02_021",431626,7711
"83","51","Virginia","S1701_C02_022",484811,5812
"84","51","Virginia","S1701_C02_023",130960,3448
"85","51","Virginia","S1701_C02_024",159644,3290
"86","51","Virginia","S1701_C02_025",125065,2726
"87","51","Virginia","S1701_C02_026",69142,2041
"88","51","Virginia","S1701_C02_027",280840,4509
"89","51","Virginia","S1701_C02_028",214069,3606
"90","51","Virginia","S1701_C02_029",89346,2484
"91","51","Virginia","S1701_C02_030",124723,2709
"92","51","Virginia","S1701_C02_031",66771,2322
"93","51","Virginia","S1701_C02_032",30703,1443
"94","51","Virginia","S1701_C02_033",36068,1645
"95","51","Virginia","S1701_C02_034",659623,7857
"96","51","Virginia","S1701_C02_035",58423,1662
"97","51","Virginia","S1701_C02_036",225750,4012
"98","51","Virginia","S1701_C02_037",375450,6075
"99","51","Virginia","S1701_C02_038",NA,NA
"100","51","Virginia","S1701_C02_039",NA,NA
"101","51","Virginia","S1701_C02_040",NA,NA
"102","51","Virginia","S1701_C02_041",NA,NA
"103","51","Virginia","S1701_C02_042",NA,NA
"104","51","Virginia","S1701_C02_043",NA,NA
"105","51","Virginia","S1701_C02_044",NA,NA
"106","51","Virginia","S1701_C02_045",NA,NA
"107","51","Virginia","S1701_C02_046",348245,5094
"108","51","Virginia","S1701_C02_047",153379,2984
"109","51","Virginia","S1701_C02_048",194866,3519
"110","51","Virginia","S1701_C02_049",2167,335
"111","51","Virginia","S1701_C02_050",4781,557
"112","51","Virginia","S1701_C02_051",96860,2604
