"","GEOID","NAME","variable","estimate","moe"
"1","51550","Chesapeake city, Virginia","B02001_001",239982,NA
"2","51550","Chesapeake city, Virginia","B02001_002",146540,752
"3","51550","Chesapeake city, Virginia","B02001_003",72084,928
"4","51550","Chesapeake city, Virginia","B02001_004",419,156
"5","51550","Chesapeake city, Virginia","B02001_005",7571,486
"6","51550","Chesapeake city, Virginia","B02001_006",150,80
"7","51550","Chesapeake city, Virginia","B02001_007",3646,644
"8","51550","Chesapeake city, Virginia","B02001_008",9572,997
"9","51550","Chesapeake city, Virginia","B02001_009",449,232
"10","51550","Chesapeake city, Virginia","B02001_010",9123,945
"11","51620","Franklin city, Virginia","B02001_001",8147,NA
"12","51620","Franklin city, Virginia","B02001_002",3003,17
"13","51620","Franklin city, Virginia","B02001_003",4618,272
"14","51620","Franklin city, Virginia","B02001_004",0,17
"15","51620","Franklin city, Virginia","B02001_005",103,115
"16","51620","Franklin city, Virginia","B02001_006",0,17
"17","51620","Franklin city, Virginia","B02001_007",90,84
"18","51620","Franklin city, Virginia","B02001_008",333,218
"19","51620","Franklin city, Virginia","B02001_009",0,17
"20","51620","Franklin city, Virginia","B02001_010",333,218
"21","51650","Hampton city, Virginia","B02001_001",135041,NA
"22","51650","Hampton city, Virginia","B02001_002",55513,535
"23","51650","Hampton city, Virginia","B02001_003",67450,649
"24","51650","Hampton city, Virginia","B02001_004",632,201
"25","51650","Hampton city, Virginia","B02001_005",3352,336
"26","51650","Hampton city, Virginia","B02001_006",226,59
"27","51650","Hampton city, Virginia","B02001_007",2198,481
"28","51650","Hampton city, Virginia","B02001_008",5670,737
"29","51650","Hampton city, Virginia","B02001_009",740,203
"30","51650","Hampton city, Virginia","B02001_010",4930,716
"31","51700","Newport News city, Virginia","B02001_001",179673,NA
"32","51700","Newport News city, Virginia","B02001_002",86132,761
"33","51700","Newport News city, Virginia","B02001_003",73785,975
"34","51700","Newport News city, Virginia","B02001_004",460,134
"35","51700","Newport News city, Virginia","B02001_005",5773,369
"36","51700","Newport News city, Virginia","B02001_006",362,72
"37","51700","Newport News city, Virginia","B02001_007",3880,613
"38","51700","Newport News city, Virginia","B02001_008",9281,1016
"39","51700","Newport News city, Virginia","B02001_009",882,271
"40","51700","Newport News city, Virginia","B02001_010",8399,946
"41","51710","Norfolk city, Virginia","B02001_001",244601,NA
