Division Number,Division,All Students,Black Students,,,,,
136,Chesapeake City,3.4,3.8,,,,,
135,Franklin City,10,12.3,,,,,
036,Gloucester County,3.4,0,,,,,
112,Hampton City,1.2,1.6,,,,,
046,Isle of Wight County,3.6,4.8,,,,,
057,Mathews County,2.7,0,,,,,
117,Newport News City,1.4,.9,,,,,
118,Norfolk City,8.1,8.4,,,,,
142,Poquoson City,1.3,0,,,,,
121,Portsmouth City,6.1,6.4,,,,,
087,Southampton County,3.1,2.6,,,,,
127,Suffolk City,6.1,7.5,,,,,
128,Virginia Beach City,2.9,4.2,,,,,
131,Williamsburg-James City County,4.1,6.5,,,,,
098,York County,2.7,3.2,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
