"","yfips","year","fips","state","city_name","total_pop","total_pop_15to64","female_pop_15to64","male_pop_15to64","aapi_pop_15to64","black_pop_15to64","latinx_pop_15to64","native_pop_15to64","white_pop_15to64","urbanicity","region","division","commuting_zone","metro_area","land_area","total_jail_pop","female_jail_pop","male_jail_pop","female_adult_jail_pop","female_juvenile_jail_pop","male_adult_jail_pop","male_juvenile_jail_pop","aapi_jail_pop","black_jail_pop","latinx_jail_pop","native_jail_pop","white_jail_pop","other_race_jail_pop","total_jail_pretrial","total_jail_from_prison","total_jail_from_other_jail","total_jail_from_fed","total_jail_from_bia","total_jail_from_bop","total_jail_from_ice","total_jail_from_marshals","total_jail_from_other_fed","jail_rated_capacity","private_jail_flag","regional_jail_flag","total_jail_adm","total_jail_dis","total_jail_pop_dcrp","female_jail_pop_dcrp","male_jail_pop_dcrp","total_jail_adm_dcrp","female_jail_adm_dcrp","male_jail_adm_dcrp","total_prison_pop","female_prison_pop","male_prison_pop","aapi_prison_pop","black_prison_pop","latinx_prison_pop","native_prison_pop","other_race_prison_pop","white_prison_pop","aapi_female_prison_pop","aapi_male_prison_pop","black_female_prison_pop","black_male_prison_pop","latinx_female_prison_pop","latinx_male_prison_pop","native_female_prison_pop","native_male_prison_pop","other_race_female_prison_pop","other_race_male_prison_pop","white_female_prison_pop","white_male_prison_pop","total_prison_adm","female_prison_adm","male_prison_adm","aapi_prison_adm","black_prison_adm","latinx_prison_adm","native_prison_adm","other_race_prison_adm","white_prison_adm","aapi_female_prison_adm","aapi_male_prison_adm","black_female_prison_adm","black_male_prison_adm","latinx_female_prison_adm","latinx_male_prison_adm","native_female_prison_adm","native_male_prison_adm","other_race_female_prison_adm","other_race_male_prison_adm","white_female_prison_adm","white_male_prison_adm","total_jail_pop_rate","female_jail_pop_rate","male_jail_pop_rate","aapi_jail_pop_rate","black_jail_pop_rate","latinx_jail_pop_rate","native_jail_pop_rate","white_jail_pop_rate","total_jail_adm_rate","total_jail_pretrial_rate","total_prison_pop_rate","female_prison_pop_rate","male_prison_pop_rate","aapi_prison_pop_rate","black_prison_pop_rate","latinx_prison_pop_rate","native_prison_pop_rate","white_prison_pop_rate","total_prison_adm_rate","female_prison_adm_rate","male_prison_adm_rate","aapi_prison_adm_rate","black_prison_adm_rate","latinx_prison_adm_rate","native_prison_adm_rate","white_prison_adm_rate"
"1",199151073,1991,51073,"VA","Gloucester County",30615,20056,10093,9963,123,2021,178,50,17684,"suburban","South","South Atlantic",39,47260,217.81,34.6,2.18,39.6,2.18,0,37.2,2.4,0,21.6,0,0,18,NA,20.82,6,0,15.2,0,NA,0,3.2,0,30.8,0,0,1357.09,1228.73,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,10,0,0,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,5,27,NA,6,0,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.52,21.6,397.47,0,1068.78,0,0,101.79,6766.5,103.81,214.4,NA,NA,NA,494.8,0,0,186.61,159.55,49.54,271,NA,296.88,0,0,147.03
"2",199251073,1992,51073,"VA","Gloucester County",31070,20333,10212,10121,129,2049,187,56,17912,"suburban","South","South Atlantic",39,47260,217.81,34.8,2.91,41.8,2.91,0,38.6,3.2,0,24.8,0,0,17,NA,22.09,8,0,17.6,0,NA,0,1.6,0,34.4,0,0,1434.45,1276.64,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,15,0,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,10,0,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.15,28.5,413,0,1210.35,0,0,94.91,7054.79,108.64,221.32,NA,NA,NA,732.06,0,0,167.49,162.3,NA,NA,NA,488.04,0,0,128.41
"3",199351073,1993,51073,"VA","Gloucester County",31976,20934,10515,10419,147,2098,204,64,18421,"suburban","South","South Atlantic",39,47260,217.81,35,3.64,44,3.64,0,40,4,0,28,0,0,16,NA,23.36,10,0,20,0,20,0,0,0,38,0,0,1511.82,1324.55,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,15,0,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,39,NA,14,0,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.19,34.62,422.31,0,1334.6,0,0,86.86,7221.84,111.59,205.41,NA,NA,NA,714.97,0,0,152,205.41,38.04,374.32,NA,667.3,0,0,157.43
"4",199451073,1994,51073,"VA","Gloucester County",32125,21025,10571,10454,154,2100,214,68,18489,"suburban","South","South Atlantic",39,47260,217.81,42.5,4.36,49.83,4.36,0,46.5,3.33,0,29.17,0,0,22,NA,24.64,NA,NA,19.33,0,16.67,0,2,0.67,38.67,0,0,1589.18,1372.45,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,15,0,0,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,5,0,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.14,41.24,476.66,0,1389.05,0,0,118.99,7558.53,117.19,218.79,NA,NA,NA,714.29,0,0,167.67,99.88,NA,NA,NA,238.1,0,0,86.54
"5",199551073,1995,51073,"VA","Gloucester County",32698,21444,10801,10643,170,2135,225,79,18835,"suburban","South","South Atlantic",39,47260,217.81,50,5.09,55.67,5.09,0,53,2.67,0,30.33,0,0,28,NA,25.91,NA,NA,18.67,0,13.33,0,4,1.33,39.33,0,0,1666.55,1420.36,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,21,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,12,0,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.17,47.13,523.07,0,1420.61,0,0,148.66,7771.64,120.83,275.14,NA,NA,NA,983.61,0,0,201.75,135.24,NA,NA,NA,562.06,0,0,90.26
"6",199651073,1996,51073,"VA","Gloucester County",33022,21705,10958,10747,176,2153,245,88,19043,"suburban","South","South Atlantic",39,47260,217.81,57.5,5.82,61.5,5.82,0,59.5,2,0,31.5,0,0,34,NA,27.18,NA,NA,18,0,10,0,6,2,40,0,0,1743.91,1468.27,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,31,0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,4,35,NA,18,0,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.92,53.11,572.25,0,1463.07,0,0,178.54,8034.6,125.22,373.19,NA,NA,NA,1439.85,0,0,262.56,179.68,36.5,325.67,NA,836.04,0,0,110.28
"7",199751073,1997,51073,"VA","Gloucester County",33654,22244,11238,11006,184,2200,262,95,19503,"suburban","South","South Atlantic",39,47260,217.81,65,6.55,67.33,6.55,0,66,1.33,0,32.67,0,0,40,NA,28.45,NA,NA,17.33,0,6.67,0,8,2.67,40.67,0,0,1821.27,1516.18,NA,NA,NA,NA,NA,NA,78,4,74,NA,24,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,9,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292.21,58.28,611.76,0,1485,0,0,205.1,8187.69,127.9,350.66,35.59,672.36,NA,1090.91,NA,NA,271.75,125.88,NA,NA,NA,409.09,NA,NA,92.29
"8",199851073,1998,51073,"VA","Gloucester County",34147,22637,11452,11185,191,2218,278,102,19848,"suburban","South","South Atlantic",39,47260,217.81,72.5,7.27,73.17,7.27,0,72.5,0.67,0,33.83,0,0,46,NA,29.73,NA,NA,16.67,0,3.33,0,10,3.33,41.33,0,0,1898.64,1564.09,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,25,0,0,0,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,10,0,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320.27,63.48,654.18,0,1525.25,0,0,231.76,8387.33,131.33,344.57,NA,NA,NA,1127.14,0,0,267.03,114.86,NA,NA,NA,450.86,0,0,80.61
"9",199951073,1999,51073,"VA","Gloucester County",34576,23041,11646,11395,205,2249,300,123,20164,"suburban","South","South Atlantic",39,47260,217.81,80,8,79,8,0,79,0,0,35,0,0,52,0,31,71,0,16,0,0,0,12,4,42,0,0,1976,1612,NA,NA,NA,NA,NA,NA,89,6,83,0,26,0,0,0,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,6,43,0,20,0,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.21,68.69,693.29,0,1556.25,0,0,257.89,8576.02,134.54,386.27,51.52,728.39,0,1156.07,0,0,312.44,212.66,51.52,377.36,0,889.28,0,0,143.82
"10",200051073,2000,51073,"VA","Gloucester County",34793,23244,11726,11518,241,2257,361,110,20275,"suburban","South","South Atlantic",39,47260,217.81,81.33,8.33,77.84,8.33,0,77.67,0.17,0,33.83,0.5,0,51.83,0,32.67,59.17,0.33,13.33,0,0,0,10,3.33,42,0,0,1898,1620.67,75,3,72,1465,290,1289,154,15,139,0,53,0,0,0,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,6,44,0,18,0,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.9,71.04,675.81,0,1498.89,138.5,0,255.64,8165.55,140.55,662.54,127.92,1206.81,0,2348.25,0,0,498.15,215.11,51.17,382.01,0,797.52,0,0,157.83
